make_snake,make
acura,Acura
alfa_romeo,Alfa Romeo
aston_martin,Aston Martin
audi,Audi
bentley,Bentley
bmw,BMW
bugatti,Bugatti
buick,Buick
cadillac,Cadillac
chevrolet,Chevrolet
chrysler,Chrysler
daewoo,Daewoo
dodge,Dodge
ferrari,Ferrari
fiat,FIAT
fisker,Fisker
ford,Ford
genesis,Genesis
gmc,GMC
honda,Honda
hummer,HUMMER
hyundai,Hyundai
infiniti,INFINITI
isuzu,Isuzu
jaguar,Jaguar
jeep,Jeep
karma,Karma
kia,Kia
lamborghini,Lamborghini
land_rover,Land Rover
lexus,Lexus
lincoln,Lincoln
lotus,Lotus
lucid,Lucid
maserati,Maserati
maybach,Maybach
mazda,Mazda
mc_laren,McLaren
mercedes_benz,Mercedes-Benz
mercury,Mercury
mini,MINI
mitsubishi,Mitsubishi
nissan,Nissan
oldsmobile,Oldsmobile
panoz,Panoz
plymouth,Plymouth
polestar,Polestar
pontiac,Pontiac
porsche,Porsche
ram,Ram
rivian,Rivian
rolls_royce,Rolls-Royce
saab,Saab
saturn,Saturn
scion,Scion
smart,smart
spyker,Spyker
subaru,Subaru
suzuki,Suzuki
tesla,Tesla
toyota,Toyota
vin_fast,VinFast
volkswagen,Volkswagen
volvo,Volvo
