make_snake,make,model_snake,model
acura,Acura,cl,CL
acura,Acura,ilx,ILX
acura,Acura,ilx_hybrid,ILX Hybrid
acura,Acura,integra,Integra
acura,Acura,legend,Legend
acura,Acura,mdx,MDX
acura,Acura,nsx,NSX
acura,Acura,rdx,RDX
acura,Acura,rl,RL
acura,Acura,rlx,RLX
acura,Acura,rsx,RSX
acura,Acura,slx,SLX
acura,Acura,tl,TL
acura,Acura,tlx,TLX
acura,Acura,tsx,TSX
acura,Acura,tsx_sport_wagon,TSX Sport Wagon
acura,Acura,vigor,Vigor
acura,Acura,zdx,ZDX
alfa_romeo,Alfa Romeo,4_c,4C
alfa_romeo,Alfa Romeo,giulia,Giulia
alfa_romeo,Alfa Romeo,stelvio,Stelvio
alfa_romeo,Alfa Romeo,tonale,Tonale
aston_martin,Aston Martin,db_11,DB11
aston_martin,Aston Martin,db_7,DB7
aston_martin,Aston Martin,db_9,DB9
aston_martin,Aston Martin,db_9_gt,DB9 GT
aston_martin,Aston Martin,dbs,DBS
aston_martin,Aston Martin,dbs_superleggera,DBS Superleggera
aston_martin,Aston Martin,dbx,DBX
aston_martin,Aston Martin,dbx_707,DBX707
aston_martin,Aston Martin,rapide,Rapide
aston_martin,Aston Martin,rapide_amr,Rapide AMR
aston_martin,Aston Martin,rapide_s,Rapide S
aston_martin,Aston Martin,v_12_vanquish,V12 Vanquish
aston_martin,Aston Martin,v_12_vantage,V12 Vantage
aston_martin,Aston Martin,v_12_vantage_s,V12 Vantage S
aston_martin,Aston Martin,v_8_vantage,V8 Vantage
aston_martin,Aston Martin,vanquish,Vanquish
aston_martin,Aston Martin,vanquish_s,Vanquish S
aston_martin,Aston Martin,vantage,Vantage
aston_martin,Aston Martin,virage,Virage
audi,Audi,100,100
audi,Audi,200,200
audi,Audi,80,80
audi,Audi,90,90
audi,Audi,a_3,A3
audi,Audi,a_3_sportback_e_tron,A3 Sportback e-tron
audi,Audi,a_4,A4
audi,Audi,a_4_allroad,A4 allroad
audi,Audi,a_5,A5
audi,Audi,a_6,A6
audi,Audi,a_6_allroad,A6 allroad
audi,Audi,a_7,A7
audi,Audi,a_8,A8
audi,Audi,allroad,allroad
audi,Audi,allroad_quattro,allroad quattro
audi,Audi,cabriolet,Cabriolet
audi,Audi,e_tron,e-tron
audi,Audi,e_tron_gt,e-tron GT
audi,Audi,e_tron_s,e-tron S
audi,Audi,e_tron_s_sportback,e-tron S Sportback
audi,Audi,e_tron_sportback,e-tron Sportback
audi,Audi,q_3,Q3
audi,Audi,q_4_e_tron,Q4 e-tron
audi,Audi,q_4_sportback_e_tron,Q4 Sportback e-tron
audi,Audi,q_5,Q5
audi,Audi,q_5_sportback,Q5 Sportback
audi,Audi,q_7,Q7
audi,Audi,q_8,Q8
audi,Audi,q_8_e_tron,Q8 e-tron
audi,Audi,q_8_sportback_e_tron,Q8 Sportback e-tron
audi,Audi,r_8,R8
audi,Audi,rs_3,RS 3
audi,Audi,rs_4,RS 4
audi,Audi,rs_5,RS 5
audi,Audi,rs_6,RS 6
audi,Audi,rs_7,RS 7
audi,Audi,rs_e_tron_gt,RS e-tron GT
audi,Audi,rs_q_8,RS Q8
audi,Audi,s_3,S3
audi,Audi,s_4,S4
audi,Audi,s_5,S5
audi,Audi,s_6,S6
audi,Audi,s_7,S7
audi,Audi,s_8,S8
audi,Audi,sq_5,SQ5
