make_snake,make,model_snake,model,engine_aspiration,is_bev
acura,Acura,cl,CL,Naturally Aspirated,No
acura,Acura,ilx,ILX,Naturally Aspirated,No
acura,Acura,ilx_hybrid,ILX Hybrid,Naturally Aspirated,No
acura,Acura,integra,Integra,Turbocharged,No
acura,Acura,integra,Integra,Naturally Aspirated,No
acura,Acura,legend,Legend,Naturally Aspirated,No
acura,Acura,mdx,MDX,Naturally Aspirated,No
acura,Acura,mdx,MDX,Turbocharged,No
acura,Acura,nsx,NSX,Twin-Turbo,No
acura,Acura,nsx,NSX,Naturally Aspirated,No
acura,Acura,rdx,RDX,Turbocharged,No
acura,Acura,rdx,RDX,Naturally Aspirated,No
acura,Acura,rl,RL,Naturally Aspirated,No
acura,Acura,rlx,RLX,Naturally Aspirated,No
acura,Acura,rsx,RSX,Naturally Aspirated,No
acura,Acura,slx,SLX,Naturally Aspirated,No
acura,Acura,tl,TL,Naturally Aspirated,No
acura,Acura,tlx,TLX,Turbocharged,No
acura,Acura,tlx,TLX,Naturally Aspirated,No
acura,Acura,tsx,TSX,Naturally Aspirated,No
acura,Acura,tsx_sport_wagon,TSX Sport Wagon,Naturally Aspirated,No
acura,Acura,vigor,Vigor,Naturally Aspirated,No
acura,Acura,zdx,ZDX,Naturally Aspirated,No
alfa_romeo,Alfa Romeo,4_c,4C,Turbocharged,No
alfa_romeo,Alfa Romeo,giulia,Giulia,Turbocharged,No
alfa_romeo,Alfa Romeo,giulia,Giulia,Twin-Turbo,No
alfa_romeo,Alfa Romeo,stelvio,Stelvio,Turbocharged,No
alfa_romeo,Alfa Romeo,stelvio,Stelvio,Twin-Turbo,No
alfa_romeo,Alfa Romeo,tonale,Tonale,Turbocharged,No
aston_martin,Aston Martin,db_11,DB11,Twin-Turbo,No
aston_martin,Aston Martin,db_7,DB7,Naturally Aspirated,No
aston_martin,Aston Martin,db_9,DB9,Naturally Aspirated,No
aston_martin,Aston Martin,db_9_gt,DB9 GT,Naturally Aspirated,No
aston_martin,Aston Martin,dbs,DBS,Twin-Turbo,No
aston_martin,Aston Martin,dbs,DBS,Naturally Aspirated,No
aston_martin,Aston Martin,dbs_superleggera,DBS Superleggera,Twin-Turbo,No
aston_martin,Aston Martin,dbx,DBX,Twin-Turbo,No
aston_martin,Aston Martin,dbx_707,DBX707,Twin-Turbo,No
aston_martin,Aston Martin,rapide,Rapide,Naturally Aspirated,No
aston_martin,Aston Martin,rapide_amr,Rapide AMR,Naturally Aspirated,No
aston_martin,Aston Martin,rapide_s,Rapide S,Naturally Aspirated,No
aston_martin,Aston Martin,v_12_vanquish,V12 Vanquish,Naturally Aspirated,No
aston_martin,Aston Martin,v_12_vantage,V12 Vantage,Naturally Aspirated,No
aston_martin,Aston Martin,v_12_vantage_s,V12 Vantage S,Naturally Aspirated,No
aston_martin,Aston Martin,v_8_vantage,V8 Vantage,Naturally Aspirated,No
aston_martin,Aston Martin,vanquish,Vanquish,Naturally Aspirated,No
aston_martin,Aston Martin,vanquish_s,Vanquish S,Naturally Aspirated,No
aston_martin,Aston Martin,vantage,Vantage,Twin-Turbo,No
aston_martin,Aston Martin,virage,Virage,Naturally Aspirated,No
audi,Audi,100,100,Naturally Aspirated,No
audi,Audi,200,200,Turbocharged,No
audi,Audi,80,80,Naturally Aspirated,No
audi,Audi,90,90,Naturally Aspirated,No
audi,Audi,a_3,A3,Turbocharged,No
audi,Audi,a_3,A3,Naturally Aspirated,No
audi,Audi,a_3_sportback_e_tron,A3 Sportback e-tron,Turbocharged,No
audi,Audi,a_4,A4,Turbocharged,No
audi,Audi,a_4,A4,Naturally Aspirated,No
audi,Audi,a_4_allroad,A4 allroad,Turbocharged,No
audi,Audi,a_5,A5,Turbocharged,No
audi,Audi,a_5,A5,Naturally Aspirated,No
audi,Audi,a_6,A6,Turbocharged,No
audi,Audi,a_6,A6,Supercharged,No
audi,Audi,a_6,A6,Naturally Aspirated,No
audi,Audi,a_6,A6,Twin-Turbo,No
audi,Audi,a_6_allroad,A6 allroad,Turbocharged,No
audi,Audi,a_7,A7,Turbocharged,No
audi,Audi,a_7,A7,Supercharged,No
audi,Audi,a_8,A8,Turbocharged,No
audi,Audi,a_8,A8,Twin-Turbo,No
audi,Audi,a_8,A8,Supercharged,No
audi,Audi,a_8,A8,Naturally Aspirated,No
audi,Audi,allroad,allroad,Turbocharged,No
audi,Audi,allroad_quattro,allroad quattro,Twin-Turbo,No
audi,Audi,allroad_quattro,allroad quattro,Naturally Aspirated,No
audi,Audi,cabriolet,Cabriolet,Naturally Aspirated,No
audi,Audi,e_tron,e-tron,Electric Motor,Yes
audi,Audi,e_tron_gt,e-tron GT,Electric Motor,Yes
audi,Audi,e_tron_s,e-tron S,Electric Motor,Yes
audi,Audi,e_tron_s_sportback,e-tron S Sportback,Electric Motor,Yes
audi,Audi,e_tron_sportback,e-tron Sportback,Electric Motor,Yes
audi,Audi,q_3,Q3,Turbocharged,No
audi,Audi,q_4_e_tron,Q4 e-tron,Electric Motor,Yes
audi,Audi,q_4_sportback_e_tron,Q4 Sportback e-tron,Electric Motor,Yes
audi,Audi,q_5,Q5,Turbocharged,No
audi,Audi,q_5,Q5,Supercharged,No
audi,Audi,q_5,Q5,Naturally Aspirated,No
