session,session_id,study_id,iteration,created,modified,ended,expired,time_0b_start,plan_bev,mc_bev_make,mc_bev_audi,mc_bev_bmw,mc_bev_cadillac,mc_bev_chevrolet,mc_bev_fiat,mc_bev_ford,mc_bev_genesis,mc_bev_gmc,mc_bev_honda,mc_bev_hyundai,mc_bev_jaguar,mc_bev_kia,mc_bev_lexus,mc_bev_lucid,mc_bev_mazda,mc_bev_mercedes_benz,mc_bev_mini,mc_bev_mitsubishi,mc_bev_nissan,mc_bev_polestar,mc_bev_porsche,mc_bev_rivian,mc_bev_subaru,mc_bev_tesla,mc_bev_toyota,mc_bev_vin_fast,mc_bev_volkswagen,mc_bev_volvo,mc_bev_year,user_model,user_bev,time_0b_end
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521458,148526,38,2024-09-30 20:02:38,2024-09-30 20:02:55,2024-09-30 20:02:56,,2024-09-30 20:02:38,yes,bmw,,i_3,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,i_3,bmw_i_3,2024-09-30 20:02:56
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521468,148526,39,2024-09-30 20:03:00,2024-09-30 20:03:16,2024-09-30 20:03:16,,2024-09-30 20:03:00,yes,gmc,,,,,,,,hummer_ev,,,,,,,,,,,,,,,,,,,,,2024,hummer_ev,gmc_hummer_ev,2024-09-30 20:03:16
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35522800,148526,40,2024-09-30 22:05:53,2024-09-30 22:06:18,2024-09-30 22:06:18,,2024-09-30 22:05:53,yes,ford,,,,,,f_150_lightning,,,,,,,,,,,,,,,,,,,,,,,2024,f_150_lightning,ford_f_150_lightning,2024-09-30 22:06:18
dU2b8PyZ46FCmiGpy1YqBfCtEY5sknRQmP2tM9pi09L4-kIvYQ-2RMC6QQzzgm07,35523238,148526,41,2024-09-30 22:55:18,2024-09-30 22:55:33,2024-09-30 22:55:34,,2024-09-30 22:55:19,yes,nissan,,,,,,,,,,,,,,,,,,,ariya,,,,,,,,,,idk,ariya,nissan_ariya,2024-09-30 22:55:34
R1TUXXOt0WTuYJLfv_1-7OwvKpEIyTFPlV_6qAPylFxRnh7I0t4D245WAiNHwQzX,35523246,148526,42,2024-09-30 22:55:50,2024-09-30 22:55:57,2024-09-30 22:55:57,,2024-09-30 22:55:50,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-09-30 22:55:57
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523317,148526,43,2024-09-30 23:00:27,2024-09-30 23:00:44,2024-09-30 23:00:45,,2024-09-30 23:00:27,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2023,model_s,tesla_model_s,2024-09-30 23:00:45
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523336,148526,44,2024-09-30 23:01:21,2024-09-30 23:01:52,2024-09-30 23:01:53,,2024-09-30 23:01:22,yes,ford,,,,,,f_150_lightning,,,,,,,,,,,,,,,,,,,,,,,2024,f_150_lightning,ford_f_150_lightning,2024-09-30 23:01:53
tecLJnv-XpO1z5KMEp3dpN8cH1A50-iCr-_8tWcibh-l4yM9DJbQFoOS-wAGXfxX,35523359,148526,45,2024-09-30 23:02:29,2024-09-30 23:02:39,2024-09-30 23:02:39,,2024-09-30 23:02:29,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-09-30 23:02:39
03pHkOC_4o819mZXRkxuPp9-WHZo4uEtflmWkhiJ7Bm6iLBZZGaUg2Mx89OhkZJW,35523365,148526,46,2024-09-30 23:02:39,2024-09-30 23:03:06,2024-09-30 23:03:07,,2024-09-30 23:02:39,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_x,,,,,2024,model_x,tesla_model_x,2024-09-30 23:03:07
zX9r9Q1RRMSg2gqFLw3KSj9OYWDMR_-sheizSIdXCdCFKYhdFSiOSl6i22DTSYJt,35523373,148526,47,2024-09-30 23:02:43,2024-09-30 23:03:15,2024-09-30 23:03:15,,2024-09-30 23:02:43,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,idk,model_3,tesla_model_3,2024-09-30 23:03:15
