session,session_id,study_id,created,modified,ended,expired,time_1_start,user_car_1,user_car_2,user_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_1_end,mc_car_number,has_bev,plan_bev
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35518652,141363,2024-09-30 16:17:01,2024-09-30 17:16:02,2024-09-30 17:16:02,,2024-09-30 16:17:02,tesla_model_s,mercedes_benz_c_class,tesla_model_s,300,yes,by_car,5,31_to_50,private_garage,,yes,250,app,,yes,250,yes,3,5_to_8,no,,,2024-09-30 17:16:02,2,yes,
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518655,141363,2024-09-30 16:17:02,2024-09-30 16:20:06,2024-09-30 16:20:06,,2024-09-30 16:17:03,mercedes_benz_eqs,ford_f_150,mercedes_benz_eqs,300,no,,,10_to_30,private_garage,,yes,400,no,,yes,400,yes,7,more_than_8,no,,,2024-09-30 16:20:06,3,yes,
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519376,141363,2024-09-30 17:03:50,2024-09-30 17:04:53,2024-09-30 17:04:53,,2024-09-30 17:03:50,toyota_4_runner,tesla_model_3,tesla_model_3,300,yes,by_car,7,31_to_50,private_garage,,yes,600,app,,yes,600,yes,7,5_to_8,yes,4,less_than_3,2024-09-30 17:04:53,2,yes,
cAFNyRoKE6q2P5AHAxgjI-oEhAqSNyr74NdSoSpkPmgAI5NBybUWL4sabvZss8fB,35519412,141363,2024-09-30 17:05:37,2024-09-30 17:07:11,2024-09-30 17:07:11,,2024-09-30 17:05:37,tesla_model_y,toyota_tacoma,tesla_model_y,300,yes,by_car,5,10_to_30,private_garage,,not_sure,300,app,,yes,300,yes,3,5_to_8,no,,,2024-09-30 17:07:11,2,yes,
Y5I0bpRwf3GQJn6ttA911vICWy_0f_jwd5WyNhAM2QDQv_hsgEeVFT7OTVWw2zKe,35519423,141363,2024-09-30 17:05:42,2024-09-30 17:38:43,2024-09-30 17:38:44,,2024-09-30 17:05:42,tesla_model_3,honda_accord_hybrid,tesla_model_3,300,yes,by_car,5,10_to_30,private_garage,,yes,350,app,,yes,350,yes,3,3_to_5,no,,,2024-09-30 17:38:43,2,yes,
6aAl0KOeJYwe0eWEDr05jhUSYu1qzHGJsZ_YaNqjpuhjdzAkmhg_O4hWOq9WsYws,35519425,141363,2024-09-30 17:05:42,2024-09-30 17:07:40,2024-09-30 17:07:40,,2024-09-30 17:05:42,tesla_model_s,NA_NA,tesla_model_s,300,yes,by_car,5,31_to_50,private_garage,,no,550,no,,yes,550,yes,4,less_than_3,no,,,2024-09-30 17:07:40,1,yes,
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521463,141363,2024-09-30 20:02:56,2024-09-30 20:03:50,2024-09-30 20:03:51,,2024-09-30 20:02:56,acura_mdx,bmw_1_series,bmw_i_3,100,yes,by_car,5,10_to_30,private_garage,,yes,450,app,,yes,450,yes,7,more_than_8,yes,5,3_to_5,2024-09-30 20:03:50,2,no,yes
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521472,141363,2024-09-30 20:03:17,2024-09-30 20:04:42,2024-09-30 20:04:42,,2024-09-30 20:03:17,buick_estate_wagon,NA_NA,gmc_hummer_ev,300,yes,by_car,4,10_to_30,private_garage,,not_sure,idk,no,,no,300,no,,,no,,,2024-09-30 20:04:42,1,no,yes
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35522807,141363,2024-09-30 22:06:19,2024-09-30 22:07:21,2024-09-30 22:07:21,,2024-09-30 22:06:19,ford_e_350,NA_NA,ford_f_150_lightning,300,yes,by_car,6,51_to_100,private_garage,,yes,350,app,,yes,350,yes,4,3_to_5,no,,,2024-09-30 22:07:21,1,no,yes
zGqIBxn46GJ0yG4M15HhF1nkprtlCuDKq-fXrzzvTZ2X_8DNFRUCz7eQQGzcfI9e,35522821,141363,2024-09-30 22:06:52,2024-09-30 22:09:12,2024-09-30 22:09:12,,2024-09-30 22:06:53,tesla_model_3,NA_NA,tesla_model_3,300,no,,,below_10,private_garage,,yes,300,app,,yes,300,yes,7,more_than_8,no,,,2024-09-30 22:09:12,1,yes,
t_2eQ5vlwrY-yKYzNPjDllokSv4qvUVAzurU37bxmKkV2Iy9UyEIw55JA8Sdw8S6,35522829,141363,2024-09-30 22:08:00,2024-09-30 22:11:52,2024-09-30 22:11:52,,2024-09-30 22:08:00,chevrolet_bolt_euv,NA_NA,chevrolet_bolt_euv,250,no,,,10_to_30,private_garage,,yes,300,no,,yes,300,yes,4,less_than_3,no,,,2024-09-30 22:11:52,1,yes,
4FAjz5NMfKjWhQeDNP-SyW_2n9ljAB0FzBDJwI1KqRe00EvfgCG_Jei6BKu6g3nC,35523235,141363,2024-09-30 22:55:16,2024-09-30 22:59:52,2024-09-30 22:59:52,,2024-09-30 22:55:16,tesla_model_s,NA_NA,tesla_model_s,300,no,,,10_to_30,shared_garage,,yes,350,app,,no,350,no,,,yes,5,3_to_5,2024-09-30 22:59:52,1,yes,
dU2b8PyZ46FCmiGpy1YqBfCtEY5sknRQmP2tM9pi09L4-kIvYQ-2RMC6QQzzgm07,35523241,141363,2024-09-30 22:55:34,2024-09-30 22:57:43,2024-09-30 22:57:43,,2024-09-30 22:55:34,dodge_journey,volkswagen_eos,nissan_ariya,250,yes,by_car,4,10_to_30,shared_lot,,no,idk,no,,no,250,yes,6,5_to_8,no,,,2024-09-30 22:57:43,3,no,yes
v-2TkldmWPa3AnLLVnpjQiB5QktRb1471QcYKJ8y_rtKdughskCpT19Uh4llZYfT,35523249,141363,2024-09-30 22:55:55,2024-09-30 22:58:10,2024-09-30 22:58:10,,2024-09-30 22:55:55,chevrolet_bolt_ev,ford_f_150,chevrolet_bolt_ev,250,no,,,10_to_30,private_garage,,not_sure,250,no,,no,250,yes,2,more_than_8,no,,,2024-09-30 22:58:10,2,yes,
oidZjnyVB4-70s1Boz_P0wGbPjPV2MrwfnNkCJYWCLi42xvReQvWPNL3JfXYEir_,35523261,141363,2024-09-30 22:56:24,2024-09-30 22:58:17,2024-09-30 22:58:17,,2024-09-30 22:56:25,ford_f_150_lightning,toyota_prius,ford_f_150_lightning,300,yes,by_car,5,31_to_50,driveway,,no,450,app,,yes,450,yes,2,3_to_5,no,,,2024-09-30 22:58:17,3,yes,
yVZ65fIewcf6d88Q9WzAdkOGYqwMYbqGRBeWxpNDDf_-CIyM5X4tQPvdEqPCGUYI,35523268,141363,2024-09-30 22:57:28,2024-09-30 22:59:22,2024-09-30 22:59:23,,2024-09-30 22:57:29,tesla_model_y,acura_mdx,tesla_model_y,300,yes,by_car,4,31_to_50,driveway,,yes,350,app,,yes,350,yes,1,5_to_8,yes,3,3_to_5,2024-09-30 22:59:23,3,yes,
L-vBNlQ7-C9Ktrh-NJwGbc1pon3L_HLOn-dNnZet4PQWYjB3JQbpBsHcx_zDJKW_,35523275,141363,2024-09-30 22:57:49,2024-09-30 23:00:27,2024-09-30 23:00:27,,2024-09-30 22:57:49,chevrolet_bolt_ev,toyota_matrix,chevrolet_bolt_ev,250,yes,by_car,4,10_to_30,private_garage,,no,350,app,,yes,350,yes,7,5_to_8,yes,2,less_than_3,2024-09-30 23:00:27,2,yes,
h9hm_jQ1cGJ1qnHDy62PQg5Yg4RCVB_SJCD6mpnCuGXBNfMLbBgYc0xMudv7h5rn,35523290,141363,2024-09-30 22:58:30,2024-09-30 23:02:26,2024-09-30 23:02:26,,2024-09-30 22:58:30,audi_e_tron_gt,tesla_model_x,audi_e_tron_gt,250,yes,by_car,4,31_to_50,private_garage,,yes,350,app,,yes,350,yes,2,less_than_3,yes,1,less_than_3,2024-09-30 23:02:26,2,yes,
TK9D8baoAf7zrjZOq-Op8Lj1wRwb4m5PZ-L00vdgmidZ1RwfAH3gbhpGM03LFPt6,35523294,141363,2024-09-30 22:58:38,2024-09-30 23:00:10,2024-09-30 23:00:11,,2024-09-30 22:58:39,tesla_model_y,jeep_cherokee,tesla_model_y,300,yes,by_car,2,10_to_30,private_garage,,yes,350,app,,yes,350,yes,2,3_to_5,no,,,2024-09-30 23:00:11,2,yes,
pwtgJvz788_FekdWAX0tGevbhkAspDIL5zTOHjjDo8lZ0ZoUBmi3Ypb0pm3JAHCv,35523302,141363,2024-09-30 22:59:36,2024-09-30 23:00:39,2024-09-30 23:00:40,,2024-09-30 22:59:36,nissan_ariya,toyota_rav_4_prime,nissan_ariya,250,yes,by_car,5,10_to_30,private_garage,,no,300,app,,yes,300,yes,4,5_to_8,no,,,2024-09-30 23:00:40,2,yes,
F97ugpWtki1WviDFgwOxESNzecuf1zrVkBUybKVvseqQbnlN1eEjNJ1qgExWLrsw,35523307,141363,2024-09-30 22:59:58,2024-09-30 23:02:35,2024-09-30 23:02:36,,2024-09-30 22:59:58,tesla_model_y,hyundai_ioniq_6,tesla_model_y,300,yes,by_car,7,31_to_50,private_garage,,yes,350,app,,yes,350,yes,4,less_than_3,yes,5,less_than_3,2024-09-30 23:02:36,2,yes,
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523328,141363,2024-09-30 23:00:45,2024-09-30 23:03:34,2024-09-30 23:03:34,,2024-09-30 23:00:45,cadillac_escalade,NA_NA,tesla_model_s,300,yes,by_car,6,31_to_50,private_garage,,yes,350,app,,yes,350,yes,4,3_to_5,yes,2,3_to_5,2024-09-30 23:03:34,1,no,yes
qz-QbVeSReBCkdX5_Ni3ceESnqcAjCfTNKv7apPahbgqA2dP0YxJ4UVwWljMnCoS,35523333,141363,2024-09-30 23:01:07,2024-09-30 23:10:12,2024-09-30 23:10:12,,2024-09-30 23:01:07,tesla_model_3,audi_e_tron,tesla_model_3,300,yes,by_car,5,51_to_100,private_garage,,yes,400,app,,yes,400,yes,5,more_than_8,no,,,2024-09-30 23:10:12,2,yes,
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523348,141363,2024-09-30 23:01:53,2024-09-30 23:04:53,2024-09-30 23:04:53,,2024-09-30 23:01:53,bmw_x_6,lexus_rc_350,ford_f_150_lightning,300,yes,by_car,5,31_to_50,private_garage,,yes,500,app,,yes,500,yes,3,3_to_5,no,,,2024-09-30 23:04:53,2,no,yes
VvQHLx2tmoDDhmJiFQkPQmGJ2yPLXtUxJENPjnKiko0LLpN2QXZSowvezIlk51EI,35523377,141363,2024-09-30 23:03:00,2024-09-30 23:04:04,2024-09-30 23:04:04,,2024-09-30 23:03:00,ford_mustang_mach_e,land_rover_range_rover_velar,ford_mustang_mach_e,250,yes,by_car,5,51_to_100,driveway,,yes,350,app,,no,350,no,,,no,,,2024-09-30 23:04:04,3,yes,
03pHkOC_4o819mZXRkxuPp9-WHZo4uEtflmWkhiJ7Bm6iLBZZGaUg2Mx89OhkZJW,35523383,141363,2024-09-30 23:03:07,2024-09-30 23:04:34,2024-09-30 23:04:34,,2024-09-30 23:03:08,chevrolet_silverado_1500,honda_accord,tesla_model_x,300,yes,by_car,3,31_to_50,private_garage,,yes,300,app,,yes,300,yes,3,3_to_5,yes,2,less_than_3,2024-09-30 23:04:34,2,no,yes
