session,session_id,study_id,created,modified,ended,expired,time_2_start,smc_survey,smc_respID,smc_df,user_range,mc_smc_0,time_2_1,mc_smc_1,time_2_2,mc_smc_2,time_2_3,mc_smc_3,time_2_4,mc_smc_4,time_2_5,mc_smc_5,time_2_6,mc_smc_6,time_2_7,smc_all_same,time_2_1_posix,time_2_7_posix,time_diff_smc,smc_speeding,time_2_end
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518715,141364,2024-09-30 16:20:06,2024-09-30 16:25:07,2024-09-30 16:25:08,,2024-09-30 16:20:07,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",3081,"{""profileID"":429,""respID"":3081,""qID"":1,""altID"":1,""obsID"":14881,""enrollment_cash"":50,""monthly_cash"":10,""override"":1,""minimum_threshold"":40,""guaranteed_threshold"":70,""no_choice"":0}",400,2,2024-09-30 16:23:03,1,2024-09-30 16:23:47,2,2024-09-30 16:24:00,2,2024-09-30 16:24:14,3,2024-09-30 16:24:29,1,2024-09-30 16:24:45,1,2024-09-30 16:24:58,no,2024-09-30 16:23:03,2024-09-30 16:24:58,115,no,2024-09-30 16:25:08
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519390,141364,2024-09-30 17:04:53,2024-09-30 17:05:57,2024-09-30 17:05:57,,2024-09-30 17:04:54,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",589,"{""profileID"":15,""respID"":589,""qID"":1,""altID"":1,""obsID"":3529,""enrollment_cash"":200,""monthly_cash"":15,""override"":0,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",600,1,2024-09-30 17:05:34,2,2024-09-30 17:05:38,1,2024-09-30 17:05:42,2,2024-09-30 17:05:45,1,2024-09-30 17:05:48,2,2024-09-30 17:05:51,1,2024-09-30 17:05:55,no,2024-09-30 17:05:34,2024-09-30 17:05:55,21,no,2024-09-30 17:05:57
cAFNyRoKE6q2P5AHAxgjI-oEhAqSNyr74NdSoSpkPmgAI5NBybUWL4sabvZss8fB,35519450,141364,2024-09-30 17:07:11,2024-09-30 17:10:01,2024-09-30 17:10:01,,2024-09-30 17:07:12,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",3523,"{""profileID"":671,""respID"":3523,""qID"":1,""altID"":1,""obsID"":17533,""enrollment_cash"":200,""monthly_cash"":10,""override"":1,""minimum_threshold"":40,""guaranteed_threshold"":80,""no_choice"":0}",300,2,2024-09-30 17:08:17,2,2024-09-30 17:08:34,1,2024-09-30 17:08:50,2,2024-09-30 17:09:05,2,2024-09-30 17:09:40,2,2024-09-30 17:09:49,2,2024-09-30 17:09:58,no,2024-09-30 17:08:17,2024-09-30 17:09:58,101,no,2024-09-30 17:10:01
6aAl0KOeJYwe0eWEDr05jhUSYu1qzHGJsZ_YaNqjpuhjdzAkmhg_O4hWOq9WsYws,35519456,141364,2024-09-30 17:07:40,2024-09-30 17:08:58,2024-09-30 17:08:59,,2024-09-30 17:07:41,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",278,"{""profileID"":47,""respID"":278,""qID"":1,""altID"":1,""obsID"":1663,""enrollment_cash"":200,""monthly_cash"":5,""override"":3,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",550,2,2024-09-30 17:08:15,2,2024-09-30 17:08:26,1,2024-09-30 17:08:32,1,2024-09-30 17:08:38,1,2024-09-30 17:08:45,1,2024-09-30 17:08:51,1,2024-09-30 17:08:56,no,2024-09-30 17:08:15,2024-09-30 17:08:56,41,no,2024-09-30 17:08:58
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35519582,141364,2024-09-30 17:16:02,2024-09-30 17:19:05,2024-09-30 17:19:06,,2024-09-30 17:16:02,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2663,"{""profileID"":621,""respID"":2663,""qID"":1,""altID"":1,""obsID"":12373,""enrollment_cash"":50,""monthly_cash"":2,""override"":5,""minimum_threshold"":30,""guaranteed_threshold"":80,""no_choice"":0}",250,2,2024-09-30 17:17:48,1,2024-09-30 17:18:02,1,2024-09-30 17:18:19,2,2024-09-30 17:18:33,2,2024-09-30 17:18:41,1,2024-09-30 17:18:47,1,2024-09-30 17:18:58,no,2024-09-30 17:17:48,2024-09-30 17:18:58,70,no,2024-09-30 17:19:06
Y5I0bpRwf3GQJn6ttA911vICWy_0f_jwd5WyNhAM2QDQv_hsgEeVFT7OTVWw2zKe,35519883,141364,2024-09-30 17:38:44,2024-09-30 17:48:54,2024-09-30 17:48:55,,2024-09-30 17:38:44,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",712,"{""profileID"":704,""respID"":712,""qID"":1,""altID"":1,""obsID"":667,""enrollment_cash"":300,""monthly_cash"":2,""override"":5,""minimum_threshold"":40,""guaranteed_threshold"":80,""no_choice"":0}",350,1,2024-09-30 17:44:23,2,2024-09-30 17:44:28,1,2024-09-30 17:44:35,2,2024-09-30 17:44:40,1,2024-09-30 17:48:30,1,2024-09-30 17:48:41,1,2024-09-30 17:48:51,no,2024-09-30 17:44:23,2024-09-30 17:48:51,268,no,2024-09-30 17:48:54
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521478,141364,2024-09-30 20:03:51,2024-09-30 20:04:56,2024-09-30 20:04:56,,2024-09-30 20:03:51,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",134,"{""profileID"":327,""respID"":134,""qID"":1,""altID"":1,""obsID"":799,""enrollment_cash"":200,""monthly_cash"":5,""override"":0,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",450,2,2024-09-30 20:04:17,1,2024-09-30 20:04:23,2,2024-09-30 20:04:34,2,2024-09-30 20:04:39,2,2024-09-30 20:04:44,1,2024-09-30 20:04:48,2,2024-09-30 20:04:52,no,2024-09-30 20:04:17,2024-09-30 20:04:52,35,no,2024-09-30 20:04:56
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521485,141364,2024-09-30 20:04:42,2024-09-30 20:06:45,2024-09-30 20:06:45,,2024-09-30 20:04:43,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2667,"{""profileID"":534,""respID"":2667,""qID"":1,""altID"":1,""obsID"":12397,""enrollment_cash"":100,""monthly_cash"":15,""override"":3,""minimum_threshold"":20,""guaranteed_threshold"":80,""no_choice"":0}",300,3,2024-09-30 20:05:28,1,2024-09-30 20:05:38,3,2024-09-30 20:05:52,2,2024-09-30 20:06:05,3,2024-09-30 20:06:14,2,2024-09-30 20:06:25,2,2024-09-30 20:06:43,no,2024-09-30 20:05:28,2024-09-30 20:06:43,75,no,2024-09-30 20:06:45
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35522825,141364,2024-09-30 22:07:21,2024-09-30 22:08:26,2024-09-30 22:08:27,,2024-09-30 22:07:21,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2835,"{""profileID"":542,""respID"":2835,""qID"":1,""altID"":1,""obsID"":13405,""enrollment_cash"":100,""monthly_cash"":2,""override"":5,""minimum_threshold"":20,""guaranteed_threshold"":80,""no_choice"":0}",350,2,2024-09-30 22:07:55,1,2024-09-30 22:08:01,1,2024-09-30 22:08:07,2,2024-09-30 22:08:12,1,2024-09-30 22:08:16,2,2024-09-30 22:08:20,1,2024-09-30 22:08:24,no,2024-09-30 22:07:55,2024-09-30 22:08:24,29,no,2024-09-30 22:08:26
zGqIBxn46GJ0yG4M15HhF1nkprtlCuDKq-fXrzzvTZ2X_8DNFRUCz7eQQGzcfI9e,35522846,141364,2024-09-30 22:09:12,2024-09-30 22:14:29,2024-09-30 22:14:29,,2024-09-30 22:09:12,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1141,"{""profileID"":374,""respID"":1141,""qID"":1,""altID"":1,""obsID"":3241,""enrollment_cash"":100,""monthly_cash"":15,""override"":3,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",300,2,2024-09-30 22:11:34,1,2024-09-30 22:12:16,2,2024-09-30 22:12:53,2,2024-09-30 22:13:20,1,2024-09-30 22:13:37,2,2024-09-30 22:14:07,2,2024-09-30 22:14:22,no,2024-09-30 22:11:34,2024-09-30 22:14:22,168,no,2024-09-30 22:14:29
