session,session_id,study_id,iteration,created,modified,ended,expired,time_4a_start,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_4a_end
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518809,141366,9,2024-09-30 16:26:36,2024-09-30 16:27:43,2024-09-30 16:27:43,,2024-09-30 16:26:36,yes,yes,1000,648952,,2024-09-30 16:27:43
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519444,141366,10,2024-09-30 17:06:46,2024-09-30 17:06:57,2024-09-30 17:06:58,,2024-09-30 17:06:47,yes,no,,160830,,2024-09-30 17:06:58
6aAl0KOeJYwe0eWEDr05jhUSYu1qzHGJsZ_YaNqjpuhjdzAkmhg_O4hWOq9WsYws,35519491,141366,11,2024-09-30 17:09:26,2024-09-30 17:09:54,2024-09-30 17:09:54,,2024-09-30 17:09:26,no,,,987406,,2024-09-30 17:09:54
cAFNyRoKE6q2P5AHAxgjI-oEhAqSNyr74NdSoSpkPmgAI5NBybUWL4sabvZss8fB,35519504,141366,12,2024-09-30 17:10:37,2024-09-30 17:11:11,2024-09-30 17:11:11,,2024-09-30 17:10:37,no,,,789834,,2024-09-30 17:11:11
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35519621,141366,13,2024-09-30 17:20:07,2024-09-30 17:20:40,2024-09-30 17:20:40,,2024-09-30 17:20:08,yes,yes,1500,472611,,2024-09-30 17:20:40
Y5I0bpRwf3GQJn6ttA911vICWy_0f_jwd5WyNhAM2QDQv_hsgEeVFT7OTVWw2zKe,35519992,141366,14,2024-09-30 17:49:58,2024-09-30 17:50:36,2024-09-30 17:50:37,,2024-09-30 17:49:58,no,,,107099,VERY GOOD SURVEY,2024-09-30 17:50:37
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521500,141366,15,2024-09-30 20:05:35,2024-09-30 20:05:55,2024-09-30 20:05:55,,2024-09-30 20:05:36,yes,yes,5000,566347,,2024-09-30 20:05:55
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521526,141366,16,2024-09-30 20:07:42,2024-09-30 20:08:04,2024-09-30 20:08:04,,2024-09-30 20:07:42,no,,,406397,,2024-09-30 20:08:04
zGqIBxn46GJ0yG4M15HhF1nkprtlCuDKq-fXrzzvTZ2X_8DNFRUCz7eQQGzcfI9e,35522917,141366,17,2024-09-30 22:15:28,2024-09-30 22:16:32,2024-09-30 22:16:32,,2024-09-30 22:15:28,yes,yes,200,209055,,2024-09-30 22:16:32
t_2eQ5vlwrY-yKYzNPjDllokSv4qvUVAzurU37bxmKkV2Iy9UyEIw55JA8Sdw8S6,35522940,141366,18,2024-09-30 22:17:52,2024-09-30 22:19:27,2024-09-30 22:19:27,,2024-09-30 22:17:52,yes,yes,400,293458,,2024-09-30 22:19:27
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35523134,141366,19,2024-09-30 22:43:25,2024-09-30 22:43:47,2024-09-30 22:43:48,,2024-09-30 22:43:25,yes,no,,385480,,2024-09-30 22:43:48
oidZjnyVB4-70s1Boz_P0wGbPjPV2MrwfnNkCJYWCLi42xvReQvWPNL3JfXYEir_,35523356,141366,20,2024-09-30 23:02:28,2024-09-30 23:03:11,2024-09-30 23:03:12,,2024-09-30 23:02:28,yes,already_have,,196441,,2024-09-30 23:03:12
v-2TkldmWPa3AnLLVnpjQiB5QktRb1471QcYKJ8y_rtKdughskCpT19Uh4llZYfT,35523381,141366,21,2024-09-30 23:03:06,2024-09-30 23:03:47,2024-09-30 23:03:48,,2024-09-30 23:03:06,yes,no,,334898,,2024-09-30 23:03:47
pwtgJvz788_FekdWAX0tGevbhkAspDIL5zTOHjjDo8lZ0ZoUBmi3Ypb0pm3JAHCv,35523394,141366,22,2024-09-30 23:03:16,2024-09-30 23:03:35,2024-09-30 23:03:36,,2024-09-30 23:03:16,yes,yes,400,701716,,2024-09-30 23:03:36
4FAjz5NMfKjWhQeDNP-SyW_2n9ljAB0FzBDJwI1KqRe00EvfgCG_Jei6BKu6g3nC,35523406,141366,23,2024-09-30 23:03:48,2024-09-30 23:04:57,2024-09-30 23:04:57,,2024-09-30 23:03:48,yes,yes,30,751497,,2024-09-30 23:04:57
TK9D8baoAf7zrjZOq-Op8Lj1wRwb4m5PZ-L00vdgmidZ1RwfAH3gbhpGM03LFPt6,35523423,141366,24,2024-09-30 23:04:36,2024-09-30 23:05:15,2024-09-30 23:05:16,,2024-09-30 23:04:36,no,,,161250,,2024-09-30 23:05:15
yVZ65fIewcf6d88Q9WzAdkOGYqwMYbqGRBeWxpNDDf_-CIyM5X4tQPvdEqPCGUYI,35523431,141366,25,2024-09-30 23:05:03,2024-09-30 23:05:59,2024-09-30 23:05:59,,2024-09-30 23:05:03,yes,yes,200,428556,,2024-09-30 23:05:59
dU2b8PyZ46FCmiGpy1YqBfCtEY5sknRQmP2tM9pi09L4-kIvYQ-2RMC6QQzzgm07,35523434,141366,26,2024-09-30 23:05:13,2024-09-30 23:05:55,2024-09-30 23:05:56,,2024-09-30 23:05:13,no,,,239999,,2024-09-30 23:05:56
F97ugpWtki1WviDFgwOxESNzecuf1zrVkBUybKVvseqQbnlN1eEjNJ1qgExWLrsw,35523453,141366,27,2024-09-30 23:05:54,2024-09-30 23:06:16,2024-09-30 23:06:16,,2024-09-30 23:05:54,yes,yes,100,395875,,2024-09-30 23:06:16
VvQHLx2tmoDDhmJiFQkPQmGJ2yPLXtUxJENPjnKiko0LLpN2QXZSowvezIlk51EI,35523478,141366,28,2024-09-30 23:06:58,2024-09-30 23:07:57,2024-09-30 23:07:57,,2024-09-30 23:06:58,yes,yes,250,158762,,2024-09-30 23:07:57
L-vBNlQ7-C9Ktrh-NJwGbc1pon3L_HLOn-dNnZet4PQWYjB3JQbpBsHcx_zDJKW_,35523480,141366,29,2024-09-30 23:06:59,2024-09-30 23:07:38,2024-09-30 23:07:39,,2024-09-30 23:06:59,yes,already_have,,897756,,2024-09-30 23:07:39
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523487,141366,30,2024-09-30 23:07:29,2024-09-30 23:08:05,2024-09-30 23:08:06,,2024-09-30 23:07:29,yes,yes,8000,892507,,2024-09-30 23:08:06
zX9r9Q1RRMSg2gqFLw3KSj9OYWDMR_-sheizSIdXCdCFKYhdFSiOSl6i22DTSYJt,35523503,141366,31,2024-09-30 23:08:11,2024-09-30 23:08:54,2024-09-30 23:08:55,,2024-09-30 23:08:12,no,,,141640,excellent,2024-09-30 23:08:54
h9hm_jQ1cGJ1qnHDy62PQg5Yg4RCVB_SJCD6mpnCuGXBNfMLbBgYc0xMudv7h5rn,35523510,141366,32,2024-09-30 23:08:38,2024-09-30 23:09:44,2024-09-30 23:09:44,,2024-09-30 23:08:38,yes,yes,3000,887482,,2024-09-30 23:09:44
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523547,141366,33,2024-09-30 23:10:05,2024-09-30 23:10:47,2024-09-30 23:10:47,,2024-09-30 23:10:05,yes,yes,5000,295955,,2024-09-30 23:10:47
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523553,141366,34,2024-09-30 23:10:15,2024-09-30 23:10:39,2024-09-30 23:10:39,,2024-09-30 23:10:15,yes,yes,20,885796,,2024-09-30 23:10:39
RvUPhJ-4kC5dySw7_PeNIkTxJ2WeObGxcfDTHLUEXpJT5te0QgiVbRU8YOkIh1OK,35523580,141366,35,2024-09-30 23:11:08,2024-09-30 23:11:30,2024-09-30 23:11:31,,2024-09-30 23:11:08,yes,yes,500,941251,,2024-09-30 23:11:31
MT5QYR8Lz0ACE5LdFQlDh4MCoRAVXbCNXpc87QjbbtNvFXQUakdFUufncDa8xTfP,35523587,141366,36,2024-09-30 23:11:27,2024-09-30 23:11:53,2024-09-30 23:11:53,,2024-09-30 23:11:27,no,,,914824,,2024-09-30 23:11:53
FKahU5Wh2RwmWyWeKDp1dPdDrcu4N-OQbtdhYjUKcYXu6QurakRuAD8BZgQ-wyIu,35523588,141366,37,2024-09-30 23:11:28,2024-09-30 23:12:20,2024-09-30 23:12:20,,2024-09-30 23:11:28,yes,no,,104184,,2024-09-30 23:12:20
mdDl3wMlG1qrRAAabSxgimCiqbJS3iMytnFcgPlqt4bxhUiyAi2J1FTFIKxa8dNR,35523648,141366,39,2024-09-30 23:13:40,2024-09-30 23:15:45,2024-09-30 23:15:45,,2024-09-30 23:13:40,no,,,781232,GREAT SURVEY,2024-09-30 23:15:45
e5Q3JOF6kI936WzopLk8QULEpcL0JkaBTzlTe3Q3bGEZ4hObT3gHgadWRu6OYSYt,35523649,141366,38,2024-09-30 23:13:40,2024-09-30 23:14:10,2024-09-30 23:14:10,,2024-09-30 23:13:40,no,,,889842,,2024-09-30 23:14:10
1pZE7Fs3qx9rnJEJ5EqKInBIM6LpByP7NrnwMVkkgVR-WEGiEo_iqdlb71oESKTO,35523674,141366,40,2024-09-30 23:14:57,2024-09-30 23:16:30,2024-09-30 23:16:31,,2024-09-30 23:14:58,yes,no,,922901,,2024-09-30 23:16:31
IFaXiO1HwUFMhRSoHJWaSj-YgIP6GlcjndVojThnZ3mjH_hyQLZ2ydBQl3KLQjI5,35523679,141366,41,2024-09-30 23:15:39,2024-09-30 23:16:13,2024-09-30 23:16:13,,2024-09-30 23:15:39,no,,,348292,,2024-09-30 23:16:13
fFWBbI5toBUY4hiM8espbt3NVHMyHB8BZzsyGEkc2bl5wdH-gbDRXeI5_BFcWUUs,35523702,141366,42,2024-09-30 23:16:46,2024-09-30 23:17:13,2024-09-30 23:17:13,,2024-09-30 23:16:46,no,,,781805,,2024-09-30 23:17:13
pjZtkvUBESglafCnrudLTAPCUPkTlVe--tX79v20XIXjk-e0y-errOCvN4GY8lzP,35523703,141366,43,2024-09-30 23:16:54,2024-09-30 23:17:42,2024-09-30 23:17:42,,2024-09-30 23:16:54,yes,yes,200,552958,,2024-09-30 23:17:42
EDLQDZ-W1gD771HX1HiBQ9QYfo5pz9B8oBQdWufBlILeSz9e_7jtapsMDiYMby8Q,35523734,141366,44,2024-09-30 23:18:03,2024-09-30 23:19:06,2024-09-30 23:19:07,,2024-09-30 23:18:04,no,,,652678,,2024-09-30 23:19:06
AwBKpvU6x7ofl1du3pJTUxcX-kPMCybuRCxJMmZ3rvQD2aW1BpvrQjHgJIKcvsbX,35523741,141366,45,2024-09-30 23:18:31,2024-09-30 23:19:34,2024-09-30 23:19:34,,2024-09-30 23:18:31,yes,yes,25,236926,,2024-09-30 23:19:34
iUdN1rS81nIe4-tWCdJXZ7EKWbNG6whPUDQTfv22CmfmJTpjo3N0Zlqougn55-72,35523743,141366,46,2024-09-30 23:18:36,2024-09-30 23:19:23,2024-09-30 23:19:24,,2024-09-30 23:18:36,yes,no,,394851,,2024-09-30 23:19:24
kSdv89ssZZkrrCF786TK63PRYdX1cWPCLju323RsdSzXOD83nAhlTx-mGu2Cc28o,35523744,141366,47,2024-09-30 23:18:43,2024-09-30 23:19:28,2024-09-30 23:19:29,,2024-09-30 23:18:43,no,,,509919,,2024-09-30 23:19:28
LLlbgdruUZOx0I8YHHkNQW_6R0_2iqeQzZi_mYPsoL4m2JLwvjdzONPLGspr25OG,35523771,141366,48,2024-09-30 23:20:29,2024-09-30 23:21:08,2024-09-30 23:21:09,,2024-09-30 23:20:29,yes,no,,836866,,2024-09-30 23:21:09
GozdmwEEH0ZQizbCvXi8dDen4pcm6Z2enIkaPmEy8st0lcKmyDaMGozJsL3bkpv3,35523775,141366,49,2024-09-30 23:20:57,2024-09-30 23:21:22,2024-09-30 23:21:22,,2024-09-30 23:20:57,no,,,655069,,2024-09-30 23:21:22
CPKt6374uQQ6beFboGYLMvIkmWtr6uxKqb9nbx-BH7OuFB25tLKhGZRMSQQzJvW5,35523787,141366,50,2024-09-30 23:21:53,2024-09-30 23:22:25,2024-09-30 23:22:25,,2024-09-30 23:21:53,no,,,995076,,2024-09-30 23:22:25
QdJkQJYbu7Rfr4tr5KHf_8fMLqWhIxYlCs35FOz6G6BjFQLZe5_MiLIuvpnMWRwv,35523810,141366,51,2024-09-30 23:25:29,2024-09-30 23:25:51,2024-09-30 23:25:51,,2024-09-30 23:25:29,yes,yes,200,491440,,2024-09-30 23:25:51
OL0BRcS5byQymtDDf3qUHoxWqIjbqgdX9-2aCHYU7CHD-cdrE9vbqeCeFEIly6f7,35523824,141366,52,2024-09-30 23:26:59,2024-09-30 23:27:52,2024-09-30 23:27:53,,2024-09-30 23:26:59,yes,yes,5000,483732,,2024-09-30 23:27:53
qz-QbVeSReBCkdX5_Ni3ceESnqcAjCfTNKv7apPahbgqA2dP0YxJ4UVwWljMnCoS,35523847,141366,53,2024-09-30 23:30:35,2024-09-30 23:35:04,2024-09-30 23:35:05,,2024-09-30 23:30:35,yes,yes,2500,403474,,2024-09-30 23:35:05
2xmOcS6NZWyc_Aq6hvqGaZ9azd9-1e-X1mvv2igDtC464AonMzawhUq_5cGgE2Y-,35523883,141366,54,2024-09-30 23:32:56,2024-09-30 23:34:13,2024-09-30 23:34:13,,2024-09-30 23:32:57,yes,yes,500,387951,,2024-09-30 23:34:13
