source,created,psid,time_sec_0a,ip_address,browser,zip_code,user_car_1,mc_car_year_1,is_bev_1,user_car_2,mc_car_year_2,is_bev_2,time_sec_0b,user_car_planned,mc_car_year_planned,time_sec_1,user_bev,mc_car_number,has_bev,plan_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_sec_2,time_2_created,time_2_ended,smc_respID,mc_smc_0,mc_smc_1,mc_smc_2,mc_smc_3,mc_smc_4,mc_smc_5,mc_smc_6,smc_all_same,time_sec_3,mc_climate,mc_yob,mc_gender,mc_ethnicity,txt_ethnicity,mc_education,txt_education,mc_work,mc_party,mc_house_type,txt_house_type,mc_house_owner,mc_household_size,mc_income,time_sec_4a,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_sec_4b,time_4b_created,time_4b_ended,v2g_respID,mc_v2g_1,mc_v2g_2,mc_v2g_3,mc_v2g_4,mc_v2g_5,mc_v2g_6,v2g_all_same,txt_feedback_2,smc_speeding,v2g_speeding
social,2024-03-08T22:53:17Z,NA,90,45.36.235.105,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",27313,tesla_model_y,2020,yes,chevrolet_c_k_2500_series,2018,no,NA,NA,NA,119,tesla_model_y,2,yes,NA,300,yes,by_car,3,over_100,private_garage,NA,no,250,no,NA,yes,250,yes,6,more_than_8,no,NA,NA,314,2024-03-08T22:56:46Z,2024-03-08T23:02:00Z,12,2,2,1,1,1,2,1,no,74,believe,1955,male,white,NA,degree_bs,NA,retired,republican,detached,NA,own,2,prefer_not_say,36,yes,no,NA,873363,NA,251,2024-03-08T23:03:50Z,2024-03-08T23:08:01Z,329,3,2,3,1,1,1,no,"I don't ""identify"" as male. I am male. I believe in global warming and biology.",no,no
social,2024-03-09T00:50:03Z,NA,88,63.155.21.235,"Mozilla/5.0 (Linux; Android 14; Pixel 7 Build/UQ1A.240205.002.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.88 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/453.0.0.40.107;]",97439,tesla_model_3,2019,yes,toyota_land_cruiser,1996,no,NA,NA,NA,135,tesla_model_3,2,yes,NA,300,no,NA,NA,below_10,private_garage,NA,yes,300,app,NA,no,300,yes,7,3_to_5,no,NA,NA,290,2024-03-09T00:53:44Z,2024-03-09T00:58:34Z,208,2,1,1,2,1,1,1,no,142,very,1961,male,white,NA,degree_associate,NA,retired,democratic,detached,NA,own,2,prefer_not_say,51,yes,no,NA,194085,NA,301,2024-03-09T01:01:45Z,2024-03-09T01:06:46Z,396,1,2,2,2,1,2,no,"That was great ! Now if you would place a Tesla supercharger at my house for free , I could really use it along with the many Tesla's in Florence Oregon , or a charger that would accept other EV charging stations that accept all ev vehicles",no,no
social,2024-03-09T11:57:20Z,NA,103,172.56.105.5,"Mozilla/5.0 (Linux; Android 12; SM-T500 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Safari/537.36 [FB_IAB/FB4A;FBAV/454.0.0.44.104;]",98042,tesla_model_3,2020,yes,ford_f_150,2017,no,NA,NA,NA,159,tesla_model_3,2,yes,NA,300,no,NA,NA,31_to_50,private_garage,NA,no,300,app,NA,yes,300,yes,7,more_than_8,no,NA,NA,723,2024-03-09T12:01:42Z,2024-03-09T12:13:45Z,338,2,2,2,1,1,2,1,no,202,very,1954,male,other,Ural Altic,degree_bs,NA,retired,prefer_not_say,detached,NA,own,2,300_to_400,72,yes,no,NA,346336,NA,270,2024-03-09T12:18:19Z,2024-03-09T12:22:49Z,53,2,2,2,1,1,2,no,NA,no,no
social,2024-03-10T23:02:09Z,NA,65,97.126.20.4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",98115,tesla_model_3,2019,yes,toyota_prius,2015,no,NA,NA,NA,122,tesla_model_3,2,yes,NA,300,yes,by_car,4,10_to_30,street,NA,no,200,app,NA,yes,200,yes,2,3_to_5,no,NA,NA,217,2024-03-10T23:05:17Z,2024-03-10T23:08:54Z,491,2,1,1,1,1,1,2,no,62,very,1963,male,white,NA,degree_bs,NA,employed_under40,democratic,detached,NA,own,2,250_to_300,29,yes,yes,1000,429646,NA,141,2024-03-10T23:10:25Z,2024-03-10T23:12:46Z,553,1,2,1,2,1,1,no,NA,no,yes
social,2024-03-11T00:52:02Z,NA,57,73.169.189.93,"Mozilla/5.0 (iPad; CPU OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPad13,2;FBMD/iPad;FBSN/iPadOS;FBSV/17.3.1;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/575038405]",98270,bmw_i_5,2024,yes,ford_f_150_lightning,2023,yes,NA,NA,NA,96,bmw_i_5,2,yes,NA,250,no,NA,NA,10_to_30,driveway,NA,yes,300,app,NA,yes,300,yes,3,3_to_5,no,NA,NA,214,2024-03-11T00:54:33Z,2024-03-11T00:58:07Z,517,2,2,2,2,1,2,2,no,61,believe,1956,non_bi,white,NA,degree_grad,NA,employed_over40,democratic,detached,NA,own,3,150_to_200,50,yes,no,NA,380188,NA,142,2024-03-11T00:59:53Z,2024-03-11T01:02:15Z,417,1,2,2,1,1,1,no,NA,no,yes
social,2024-03-11T02:55:07Z,NA,50,73.217.126.171,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone13,3;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575203842]",80602,hyundai_ioniq_5,2023,yes,hyundai_santa_fe,2019,no,NA,NA,NA,204,hyundai_ioniq_5,2,yes,NA,250,yes,by_car,5,51_to_100,private_garage,NA,yes,300,app,NA,yes,300,yes,3,5_to_8,no,NA,NA,1140,2024-03-11T02:59:22Z,2024-03-11T03:18:22Z,226,2,2,1,1,2,2,1,no,235,very,1979,male,white,NA,degree_grad,NA,employed_over40,independent,detached,NA,own,4,150_to_200,480,yes,no,NA,342116,NA,125,2024-03-11T03:30:17Z,2024-03-11T03:32:22Z,479,1,2,2,1,2,1,no,Interesting survey,no,yes
social,2024-03-12T02:27:30Z,NA,280,68.73.114.235,"Mozilla/5.0 (Linux; Android 14; SM-G998U1 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.102 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/454.1.0.49.104;]",27614,hyundai_ioniq_5,2023,yes,audi_q_7,2018,no,NA,NA,NA,233,hyundai_ioniq_5,2,yes,NA,250,no,NA,NA,51_to_100,private_garage,NA,yes,250,no,NA,yes,250,yes,1,5_to_8,no,NA,NA,698,2024-03-12T02:36:04Z,2024-03-12T02:47:42Z,425,2,2,1,1,2,3,3,no,113,believe,1965,male,white,NA,degree_bs,NA,retired,independent,detached,NA,own,2,150_to_200,121,yes,yes,600,786548,NA,174,2024-03-12T02:51:37Z,2024-03-12T02:54:31Z,353,2,2,1,1,2,2,no,NA,no,no
social,2024-03-12T07:08:11Z,NA,44,173.73.154.170,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575372076]",20008,hyundai_ioniq_electric,2021,yes,NA_NA,NA,no,NA,NA,NA,244,hyundai_ioniq_electric,1,yes,NA,150,yes,by_car,7,10_to_30,shared_garage,NA,yes,200,no,NA,no,200,no,NA,NA,no,NA,NA,388,2024-03-12T07:13:00Z,2024-03-12T07:19:28Z,303,2,1,2,1,1,1,3,no,73,very,1982,female,white,NA,degree_bs,NA,employed_under40,democratic,condo,NA,rent,1,25_to_35,307,no,NA,NA,475531,"It’s a shame there aren’t many (any?) options in this survey that would be viable for someone who doesn’t charge overnight/at home. 

If I had the ability to charge at home and overnight, I’d be fine trying out the option of selling back kW to the grid during peak times. 

Sadly, I have to go somewhere else to charge and am on constant alert to what my charge level is at. Especially as I am both a dogwalker and Uber driver, and rely on my car to do both of those jobs! Can’t do it without any range.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-12T12:04:59Z,NA,45,71.217.98.192,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",27527,tesla_model_y,2023,yes,jeep_compass,2012,no,NA,NA,NA,139,tesla_model_y,2,yes,NA,300,no,NA,NA,10_to_30,private_garage,NA,no,300,app,NA,yes,300,yes,7,more_than_8,no,NA,NA,201,2024-03-12T12:08:03Z,2024-03-12T12:11:24Z,139,2,1,1,2,1,2,1,no,181,somewhat,1990,female,white,NA,degree_bs,NA,not_employed_not_looking,independent,detached,NA,own,4,100_to_150,33,no,NA,NA,154576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-12T14:42:40Z,NA,68,99.131.53.181,"Mozilla/5.0 (iPad; CPU OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPad13,8;FBMD/iPad;FBSN/iPadOS;FBSV/17.3.1;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/575336847]",27613,ford_f_150_lightning,2023,yes,ford_fusion,2009,no,NA,NA,NA,122,ford_f_150_lightning,2,yes,NA,300,no,NA,NA,below_10,private_garage,NA,yes,200,smc,Duke Power Progress,yes,200,yes,7,more_than_8,no,NA,NA,200,2024-03-12T14:45:51Z,2024-03-12T14:49:11Z,524,2,1,1,2,1,1,1,no,62,very,1961,male,white,NA,degree_grad,NA,retired,democratic,detached,NA,own,2,150_to_200,49,yes,yes,500,324757,NA,181,2024-03-12T14:51:02Z,2024-03-12T14:54:03Z,291,3,2,2,1,1,1,no,NA,no,no
