source,created,psid,time_sec_0a,ip_address,browser,zip_code,user_car_1,mc_car_year_1,is_bev_1,user_car_2,mc_car_year_2,is_bev_2,time_sec_0b,user_car_planned,mc_car_year_planned,time_sec_1,user_bev,mc_car_number,has_bev,plan_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_sec_2,time_2_created,time_2_ended,smc_respID,mc_smc_0,mc_smc_1,mc_smc_2,mc_smc_3,mc_smc_4,mc_smc_5,mc_smc_6,smc_all_same,time_sec_3,mc_climate,mc_yob,mc_gender,mc_ethnicity,txt_ethnicity,mc_education,txt_education,mc_work,mc_party,mc_house_type,txt_house_type,mc_house_owner,mc_household_size,mc_income,time_sec_4a,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_sec_4b,time_4b_created,time_4b_ended,v2g_respID,mc_v2g_1,mc_v2g_2,mc_v2g_3,mc_v2g_4,mc_v2g_5,mc_v2g_6,v2g_all_same,txt_feedback_2,smc_speeding,v2g_speeding
social,2024-03-08T22:53:17Z,NA,90,45.36.235.105,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",27313,tesla_model_y,2020,yes,chevrolet_c_k_2500_series,2018,no,NA,NA,NA,119,tesla_model_y,2,yes,NA,300,yes,by_car,3,over_100,private_garage,NA,no,250,no,NA,yes,250,yes,6,more_than_8,no,NA,NA,314,2024-03-08T22:56:46Z,2024-03-08T23:02:00Z,12,2,2,1,1,1,2,1,no,74,believe,1955,male,white,NA,degree_bs,NA,retired,republican,detached,NA,own,2,prefer_not_say,36,yes,no,NA,873363,NA,251,2024-03-08T23:03:50Z,2024-03-08T23:08:01Z,329,3,2,3,1,1,1,no,"I don't ""identify"" as male. I am male. I believe in global warming and biology.",no,no
social,2024-03-09T00:50:03Z,NA,88,63.155.21.235,"Mozilla/5.0 (Linux; Android 14; Pixel 7 Build/UQ1A.240205.002.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.88 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/453.0.0.40.107;]",97439,tesla_model_3,2019,yes,toyota_land_cruiser,1996,no,NA,NA,NA,135,tesla_model_3,2,yes,NA,300,no,NA,NA,below_10,private_garage,NA,yes,300,app,NA,no,300,yes,7,3_to_5,no,NA,NA,290,2024-03-09T00:53:44Z,2024-03-09T00:58:34Z,208,2,1,1,2,1,1,1,no,142,very,1961,male,white,NA,degree_associate,NA,retired,democratic,detached,NA,own,2,prefer_not_say,51,yes,no,NA,194085,NA,301,2024-03-09T01:01:45Z,2024-03-09T01:06:46Z,396,1,2,2,2,1,2,no,"That was great ! Now if you would place a Tesla supercharger at my house for free , I could really use it along with the many Tesla's in Florence Oregon , or a charger that would accept other EV charging stations that accept all ev vehicles",no,no
social,2024-03-09T11:57:20Z,NA,103,172.56.105.5,"Mozilla/5.0 (Linux; Android 12; SM-T500 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Safari/537.36 [FB_IAB/FB4A;FBAV/454.0.0.44.104;]",98042,tesla_model_3,2020,yes,ford_f_150,2017,no,NA,NA,NA,159,tesla_model_3,2,yes,NA,300,no,NA,NA,31_to_50,private_garage,NA,no,300,app,NA,yes,300,yes,7,more_than_8,no,NA,NA,723,2024-03-09T12:01:42Z,2024-03-09T12:13:45Z,338,2,2,2,1,1,2,1,no,202,very,1954,male,other,Ural Altic,degree_bs,NA,retired,prefer_not_say,detached,NA,own,2,300_to_400,72,yes,no,NA,346336,NA,270,2024-03-09T12:18:19Z,2024-03-09T12:22:49Z,53,2,2,2,1,1,2,no,NA,no,no
social,2024-03-12T02:27:30Z,NA,280,68.73.114.235,"Mozilla/5.0 (Linux; Android 14; SM-G998U1 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.102 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/454.1.0.49.104;]",27614,hyundai_ioniq_5,2023,yes,audi_q_7,2018,no,NA,NA,NA,233,hyundai_ioniq_5,2,yes,NA,250,no,NA,NA,51_to_100,private_garage,NA,yes,250,no,NA,yes,250,yes,1,5_to_8,no,NA,NA,698,2024-03-12T02:36:04Z,2024-03-12T02:47:42Z,425,2,2,1,1,2,3,3,no,113,believe,1965,male,white,NA,degree_bs,NA,retired,independent,detached,NA,own,2,150_to_200,121,yes,yes,600,786548,NA,174,2024-03-12T02:51:37Z,2024-03-12T02:54:31Z,353,2,2,1,1,2,2,no,NA,no,no
social,2024-03-12T14:42:40Z,NA,68,99.131.53.181,"Mozilla/5.0 (iPad; CPU OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPad13,8;FBMD/iPad;FBSN/iPadOS;FBSV/17.3.1;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/575336847]",27613,ford_f_150_lightning,2023,yes,ford_fusion,2009,no,NA,NA,NA,122,ford_f_150_lightning,2,yes,NA,300,no,NA,NA,below_10,private_garage,NA,yes,200,smc,Duke Power Progress,yes,200,yes,7,more_than_8,no,NA,NA,200,2024-03-12T14:45:51Z,2024-03-12T14:49:11Z,524,2,1,1,2,1,1,1,no,62,very,1961,male,white,NA,degree_grad,NA,retired,democratic,detached,NA,own,2,150_to_200,49,yes,yes,500,324757,NA,181,2024-03-12T14:51:02Z,2024-03-12T14:54:03Z,291,3,2,2,1,1,1,no,NA,no,no
social,2024-03-12T20:45:19Z,NA,118,73.142.81.38,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,7;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575771731]",06524,hyundai_ioniq_5,2023,yes,hyundai_tucson,2023,no,NA,NA,NA,181,hyundai_ioniq_5,2,yes,NA,250,yes,by_car,5,31_to_50,driveway,NA,no,250,smc,Eversource,yes,250,yes,2,more_than_8,no,NA,NA,492,2024-03-12T20:50:18Z,2024-03-12T20:58:30Z,366,2,2,2,1,1,1,2,no,92,believe,1959,male,white,NA,vocational,NA,employed_under40,democratic,detached,NA,own,3,100_to_150,43,yes,no,NA,630690,NA,287,2024-03-12T21:00:45Z,2024-03-12T21:05:32Z,202,2,1,1,2,2,2,no,NA,no,no
social,2024-03-13T14:46:09Z,NA,131,50.43.49.231,"Mozilla/5.0 (iPad; CPU OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBDV/iPad11,6;FBMD/iPad;FBSN/iPadOS;FBSV/17.3.1;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5]",97381,nissan_leaf,2020,yes,chevrolet_astro,2003,no,NA,NA,NA,292,nissan_leaf,2,yes,NA,150,no,NA,NA,31_to_50,private_garage,NA,yes,200,app,NA,yes,200,yes,4,3_to_5,no,NA,NA,418,2024-03-13T14:53:14Z,2024-03-13T15:00:12Z,195,2,2,1,1,2,1,2,no,152,very,1947,male,white,NA,vocational,NA,employed_under40,democratic,detached,NA,own,3,50_to_75,95,yes,yes,500,398778,NA,371,2024-03-13T15:04:19Z,2024-03-13T15:10:30Z,171,1,2,1,2,2,1,no,Good luck! America needs this but it’s going to be like herding cats.,no,no
social,2024-03-13T16:45:44Z,NA,79,75.112.80.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone16,1;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575771731]",32720,bmw_i_4,2024,yes,subaru_outback,2018,no,NA,NA,NA,212,bmw_i_4,2,yes,NA,250,no,NA,NA,31_to_50,private_garage,NA,no,300,app,NA,yes,300,yes,3,more_than_8,no,NA,NA,319,2024-03-13T16:50:35Z,2024-03-13T16:55:54Z,85,2,1,1,1,2,1,1,no,251,very,1950,male,white,NA,degree_grad,NA,retired,independent,townhome,NA,own,2,150_to_200,300,yes,yes,500,710308,NA,411,2024-03-13T17:05:06Z,2024-03-13T17:11:57Z,58,1,2,1,1,1,2,no,NA,no,no
social,2024-03-13T21:40:59Z,NA,72,98.211.89.121,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/443.0.2.38.229;FBBV/543984574;FBDV/iPhone13,4;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/546755414]",19958,tesla_model_3,2023,yes,ford_taurus,2015,no,NA,NA,NA,149,tesla_model_3,2,yes,NA,300,no,NA,NA,10_to_30,private_garage,NA,yes,250,no,NA,yes,250,yes,3,3_to_5,no,NA,NA,276,2024-03-13T21:44:40Z,2024-03-13T21:49:16Z,297,2,2,1,1,2,2,2,no,83,believe,1953,male,white,NA,degree_bs,NA,retired,democratic,detached,NA,own,2,100_to_150,50,yes,no,NA,783320,NA,188,2024-03-13T21:51:30Z,2024-03-13T21:54:38Z,11,1,2,1,2,1,2,no,NA,no,no
social,2024-03-14T01:33:50Z,NA,106,73.202.91.23,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone15,3;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575963356]",94510,kia_ev_6,2023,yes,subaru_outback,2016,no,NA,NA,NA,158,kia_ev_6,2,yes,NA,250,yes,by_car,5,below_10,private_garage,NA,not_sure,250,no,NA,no,250,yes,2,5_to_8,no,NA,NA,395,2024-03-14T01:38:14Z,2024-03-14T01:44:49Z,410,2,1,1,3,2,1,2,no,75,believe,1965,male,white,NA,degree_bs,NA,employed_over40,republican,detached,NA,own,3,200_to_250,55,yes,no,NA,614891,NA,435,2024-03-14T01:47:00Z,2024-03-14T01:54:15Z,542,2,2,1,1,1,2,no,"For the V2G section it would be helpful often had some idea of how much we’d be paid when an event occurs.  PG&E might pay $0.02 per kWh but will charge $0.35 per kWh, which I would not be interested in. Even with solar panels PG&E is a rip off",no,no
