source,resp_id,q_id,profile_id,alt_id,obs_id,has_bev,enrollment_cash,occurrence_cash,monthly_occurrence,lower_bound,guaranteed_threshold,choice,no_choice,mc_car_year_1,mc_car_year_2,mc_car_year_planned,mc_car_number,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,mc_neighbor,mc_max_range,mc_umc,mc_lv2_charger,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,mc_climate,mc_yob,mc_gender,mc_ethnicity,mc_education,mc_work,mc_party,mc_house_type,mc_house_owner,mc_household_size,mc_income,mc_v2g,mc_v2g_charger
social,1,1,461,1,1,yes,50,2,4,40,70,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,1,182,2,1,yes,100,2,2,40,60,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,1,0,3,1,yes,0,0,0,0,0,1,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,2,34,1,2,yes,100,15,2,20,60,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,2,75,2,2,yes,200,15,4,20,60,1,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,2,0,3,2,yes,0,0,0,0,0,0,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,3,114,1,3,yes,100,15,2,30,60,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,3,9,2,3,yes,50,10,1,20,60,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,3,0,3,3,yes,0,0,0,0,0,1,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,4,473,1,4,yes,50,15,4,40,70,1,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,4,551,2,4,yes,200,10,4,20,80,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,4,0,3,4,yes,0,0,0,0,0,0,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,5,309,1,5,yes,50,10,4,20,70,1,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,5,143,2,5,yes,200,2,4,30,60,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,5,0,3,5,yes,0,0,0,0,0,0,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,6,136,1,6,yes,300,15,3,30,60,1,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
