session,session_id,study_id,created,modified,ended,expired,ip_address,browser,bevs,bot_filter,zip_code,mc_car_number,mc_car_make_1,txt_car_1,mc_car_acura_1,mc_car_alfa_romeo_1,mc_car_aston_martin_1,mc_car_audi_1,mc_car_bentley_1,mc_car_bmw_1,mc_car_bugatti_1,mc_car_buick_1,mc_car_cadillac_1,mc_car_chevrolet_1,mc_car_chrysler_1,mc_car_daewoo_1,mc_car_dodge_1,mc_car_ferrari_1,mc_car_fiat_1,mc_car_fisker_1,mc_car_ford_1,mc_car_genesis_1,mc_car_gmc_1,mc_car_honda_1,mc_car_hummer_1,mc_car_hyundai_1,mc_car_infiniti_1,mc_car_isuzu_1,mc_car_jaguar_1,mc_car_jeep_1,mc_car_karma_1,mc_car_kia_1,mc_car_lamborghini_1,mc_car_land_rover_1,mc_car_lexus_1,mc_car_lincoln_1,mc_car_lotus_1,mc_car_lucid_1,mc_car_maserati_1,mc_car_maybach_1,mc_car_mazda_1,mc_car_mc_laren_1,mc_car_mercedes_benz_1,mc_car_mercury_1,mc_car_mini_1,mc_car_mitsubishi_1,mc_car_nissan_1,mc_car_oldsmobile_1,mc_car_panoz_1,mc_car_plymouth_1,mc_car_polestar_1,mc_car_pontiac_1,mc_car_porsche_1,mc_car_ram_1,mc_car_rivian_1,mc_car_rolls_royce_1,mc_car_saab_1,mc_car_saturn_1,mc_car_scion_1,mc_car_smart_1,mc_car_spyker_1,mc_car_subaru_1,mc_car_suzuki_1,mc_car_tesla_1,mc_car_toyota_1,mc_car_vin_fast_1,mc_car_volkswagen_1,mc_car_volvo_1,mc_car_year_1,mc_car_make_2,txt_car_2,mc_car_acura_2,mc_car_alfa_romeo_2,mc_car_aston_martin_2,mc_car_audi_2,mc_car_bentley_2,mc_car_bmw_2,mc_car_bugatti_2,mc_car_buick_2,mc_car_cadillac_2,mc_car_chevrolet_2,mc_car_chrysler_2,mc_car_daewoo_2,mc_car_dodge_2,mc_car_ferrari_2,mc_car_fiat_2,mc_car_fisker_2,mc_car_ford_2,mc_car_genesis_2,mc_car_gmc_2,mc_car_honda_2,mc_car_hummer_2,mc_car_hyundai_2,mc_car_infiniti_2,mc_car_isuzu_2,mc_car_jaguar_2,mc_car_jeep_2,mc_car_karma_2,mc_car_kia_2,mc_car_lamborghini_2,mc_car_land_rover_2,mc_car_lexus_2,mc_car_lincoln_2,mc_car_lotus_2,mc_car_lucid_2,mc_car_maserati_2,mc_car_maybach_2,mc_car_mazda_2,mc_car_mc_laren_2,mc_car_mercedes_benz_2,mc_car_mercury_2,mc_car_mini_2,mc_car_mitsubishi_2,mc_car_nissan_2,mc_car_oldsmobile_2,mc_car_panoz_2,mc_car_plymouth_2,mc_car_polestar_2,mc_car_pontiac_2,mc_car_porsche_2,mc_car_ram_2,mc_car_rivian_2,mc_car_rolls_royce_2,mc_car_saab_2,mc_car_saturn_2,mc_car_scion_2,mc_car_smart_2,mc_car_spyker_2,mc_car_subaru_2,mc_car_suzuki_2,mc_car_tesla_2,mc_car_toyota_2,mc_car_vin_fast_2,mc_car_volkswagen_2,mc_car_volvo_2,mc_car_year_2,is_human,user_model_1,user_model_2,user_car_1,user_car_2,is_bev_1,is_bev_2,has_bev,time_0a_start,time_0a_end,psid,keyid,signature_start,secret_key,text_start,signature_start_verify,text_end_1,text_end_2,signature_end_1,signature_end_2
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518609,141362,2024-09-30 16:15:36,2024-09-30 16:17:01,2024-09-30 16:17:02,,136.38.122.208,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,84092,3,mercedes_benz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqs,,,,,,,,,,,,,,,,,,,,,,,,,,2022,ford,,,,,,,,,,,,,,,,,,f_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,eqs,f_150,mercedes_benz_eqs,ford_f_150,yes,no,yes,2024-09-30 16:15:37,2024-09-30 16:17:02,S0iesZfB10Z2-CPRq4bQew**,5430,86bb722dc25deb77f8b174cb7ede5e7f38d7cd22ce74cb8c7072f28a066fc854,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10Z2-CPRq4bQew**&_k=5430,86bb722dc25deb77f8b174cb7ede5e7f38d7cd22ce74cb8c7072f28a066fc854,/projects/end?rst=1&psid=S0iesZfB10Z2-CPRq4bQew**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10Z2-CPRq4bQew**&_k=5430,881e1654ac592f818db29102117615233bc99f091c6a9c974f63802e48d03937,6b62ef1efd99a2c89cc866baef413171b9cd49808e757552bbef96257f2e158c
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35518613,141362,2024-09-30 16:15:41,2024-09-30 16:17:00,2024-09-30 16:17:01,,76.17.127.0,"Mozilla/5.0 (Linux; Android 13; VORTEX CM62 Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/129.0.6668.70 Mobile Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,30067,2,tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2022,mercedes_benz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c_class,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,model_s,c_class,tesla_model_s,mercedes_benz_c_class,yes,no,yes,2024-09-30 16:15:42,2024-09-30 16:17:01,S0iesZfB10ZM4PrKQO-2uA**,5430,27df3e148909124ae4171af0313b6dc904136fde89dfc0257826501f061f7267,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10ZM4PrKQO-2uA**&_k=5430,27df3e148909124ae4171af0313b6dc904136fde89dfc0257826501f061f7267,/projects/end?rst=1&psid=S0iesZfB10ZM4PrKQO-2uA**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10ZM4PrKQO-2uA**&_k=5430,66ed60afc4360972ca964e2cd7874c6be039b9ff84e748619d3bfdd3d3d8fe59,6f4b7967ff198c2dc61a354825b9425b6c77346dd2a7522925c1ff16f95d4585
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519366,141362,2024-09-30 17:03:10,2024-09-30 17:03:48,2024-09-30 17:03:50,,35.151.163.126,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,36830,2,toyota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4_runner,,,,2024,tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,2023,1,4_runner,model_3,toyota_4_runner,tesla_model_3,no,yes,yes,2024-09-30 17:03:10,2024-09-30 17:03:49,S0iesZfB10YiehGUDM8Rzg**,5430,4ffdbdfc68fae55d9001a33a5f727185c8465f03899de0994b2f530dfbea474a,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10YiehGUDM8Rzg**&_k=5430,4ffdbdfc68fae55d9001a33a5f727185c8465f03899de0994b2f530dfbea474a,/projects/end?rst=1&psid=S0iesZfB10YiehGUDM8Rzg**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10YiehGUDM8Rzg**&_k=5430,0f98f7a784b12e911ab4377d14cb39a307383611a85509e27af4b0de6fd5900b,f8dbdecffb7bdbd9d98854f7d213082b1bde82b729611ebc0938b946aa5522a8
Y5I0bpRwf3GQJn6ttA911vICWy_0f_jwd5WyNhAM2QDQv_hsgEeVFT7OTVWw2zKe,35519373,141362,2024-09-30 17:03:43,2024-09-30 17:05:40,2024-09-30 17:05:41,,107.77.237.52,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,36081,2,tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,2022,honda,,,,,,,,,,,,,,,,,,,,,accord_hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,model_3,accord_hybrid,tesla_model_3,honda_accord_hybrid,yes,no,yes,2024-09-30 17:03:44,2024-09-30 17:05:41,S0iesZfB10Ys3zJXq1wmHQ**,5430,68e1f6fee711f17339c9bc4d6fe1820218bd57c9de532ec888ece4d16af9d0f6,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10Ys3zJXq1wmHQ**&_k=5430,68e1f6fee711f17339c9bc4d6fe1820218bd57c9de532ec888ece4d16af9d0f6,/projects/end?rst=1&psid=S0iesZfB10Ys3zJXq1wmHQ**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10Ys3zJXq1wmHQ**&_k=5430,15af10f56e690ee11426c8c349de379d9f6a93668403b0dd71a696adac0b5b0a,cd67f3fc305a6a4864178ec834da8dc437574f0d3d6238d0a8a246d008e4adf8
cAFNyRoKE6q2P5AHAxgjI-oEhAqSNyr74NdSoSpkPmgAI5NBybUWL4sabvZss8fB,35519391,141362,2024-09-30 17:05:00,2024-09-30 17:05:35,2024-09-30 17:05:36,,24.248.250.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,73179,2,tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model_y,,,,,2023,toyota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tacoma,,,,2013,1,model_y,tacoma,tesla_model_y,toyota_tacoma,yes,no,yes,2024-09-30 17:05:00,2024-09-30 17:05:36,S0iesZfB10YMDXssh7rQRg**,5430,d574e56fc608e47da97958f8feeea71553b37ae1b93301782e8c9ec9702490bd,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10YMDXssh7rQRg**&_k=5430,d574e56fc608e47da97958f8feeea71553b37ae1b93301782e8c9ec9702490bd,/projects/end?rst=1&psid=S0iesZfB10YMDXssh7rQRg**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10YMDXssh7rQRg**&_k=5430,0d57451cf3d56518138c7382af9f1c012c1dbfc62c5a01bf7e463787aec342f6,420b6160261e64a71348f393c25556964f7f7dc8eab0b9088ce89d46e363f6c3
6aAl0KOeJYwe0eWEDr05jhUSYu1qzHGJsZ_YaNqjpuhjdzAkmhg_O4hWOq9WsYws,35519395,141362,2024-09-30 17:05:10,2024-09-30 17:05:40,2024-09-30 17:05:42,,172.59.25.255,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,44438,1,tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,model_s,,tesla_model_s,NA_NA,yes,no,yes,2024-09-30 17:05:10,2024-09-30 17:05:41,S0iesZfB10alwhv0ElitVw**,5430,59ba11688008d2026ac4c5fc432be42e9b49d64310824a73ea8985fb33f3358a,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10alwhv0ElitVw**&_k=5430,59ba11688008d2026ac4c5fc432be42e9b49d64310824a73ea8985fb33f3358a,/projects/end?rst=1&psid=S0iesZfB10alwhv0ElitVw**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10alwhv0ElitVw**&_k=5430,8957d7ffec5e18fad9e9e280b25d20aedd3a37d319ca7331670d12016bcf9288,c003df789cb153cff051005c55f1ba948664e22506d0ac5b7398fdbf8a9f90c9
smhWvofan2s-SI51lbfJUySbAwcgRBrfYbZPcHZ2YzEvx3oPcMJkJo5t5TMKY7sc,35519445,141362,2024-09-30 17:06:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521396,141362,2024-09-30 20:01:41,2024-09-30 20:02:58,2024-09-30 20:02:59,,174.193.196.11,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,91316,1,buick,,,,,,,,,estate_wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,estate_wagon,,buick_estate_wagon,NA_NA,no,no,no,2024-09-30 20:01:41,2024-09-30 20:02:59,S0iesZfB10a_18t3YWWhMg**,5430,37c544d3d69740e990deecbbd2266eddc23fd4a35f65435634aec405077a1922,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10a_18t3YWWhMg**&_k=5430,37c544d3d69740e990deecbbd2266eddc23fd4a35f65435634aec405077a1922,/projects/end?rst=1&psid=S0iesZfB10a_18t3YWWhMg**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10a_18t3YWWhMg**&_k=5430,fdeae0e1fcb5b39b051b255a5d9efddbec6106a2c10be531646c4dbec7dc8120,44abe3888041ff85fcc89a0757844f13ed0890c565467368a6260281aa82e9fc
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521401,141362,2024-09-30 20:01:45,2024-09-30 20:02:36,2024-09-30 20:02:37,,50.193.68.227,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,60626,2,acura,,mdx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,bmw,,,,,,,1_series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,mdx,1_series,acura_mdx,bmw_1_series,no,no,no,2024-09-30 20:01:45,2024-09-30 20:02:37,S0iesZfB10ZUc6PsKgq2JQ**,5430,ee83d643eb49cc74f6048587e72320c18dea1622535ee36ee9161107364c74e0,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10ZUc6PsKgq2JQ**&_k=5430,ee83d643eb49cc74f6048587e72320c18dea1622535ee36ee9161107364c74e0,/projects/end?rst=1&psid=S0iesZfB10ZUc6PsKgq2JQ**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10ZUc6PsKgq2JQ**&_k=5430,d898d06ebff12f60dcbd3c0af68372cc9f5b4def5a627ba858e56efdbfe17778,5ca3bc1bb71356bc66bcfde9414e05cbe6086bd3e80245713d5e53f5a4a71860
2AOy-8dKgSIWGjLDIBRhBE2V4I7J0dZq47aE1kCD6wIuVXj6ZtCtBafPprS8jc4C,35522759,141362,2024-09-30 22:01:21,,,,166.181.86.52,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36","{""make_snake"":""audi"",""make"":""Audi"",""model_snake"":""e_tron"",""model"":""e-tron"",""make_model_snake"":""audi_e_tron"",""make_model"":""Audi e-tron"",""range"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30 22:01:21,,S0iesZfB10YhanupOYkhew**,5430,25b89e008e57af6c5b9dc1048ec0cb0b16c436cc2bc67ef28e2bdd8abb957a75,23e68f81d5ee1f4280d667862ded1a6e3e6b3f9,/?psid=S0iesZfB10YhanupOYkhew**&_k=5430,25b89e008e57af6c5b9dc1048ec0cb0b16c436cc2bc67ef28e2bdd8abb957a75,/projects/end?rst=1&psid=S0iesZfB10YhanupOYkhew**&_k=5430,/projects/end?rst=2&psid=S0iesZfB10YhanupOYkhew**&_k=5430,cfe979e2ccff872323a9b845ba7b2f2a2a174cf90c46dfd2691364214eae5227,b5ad6b8ab3d9e6d8c4d7917b180ca4accf2692d43135ecdfbe350978073e7f96
