session,session_id,study_id,iteration,created,modified,ended,expired,time_3_start,mc_climate,mc_yob,mc_gender,mc_ethnicity,txt_ethnicity,mc_education,txt_education,mc_work,mc_party,mc_house_type,txt_house_type,mc_house_owner,mc_household_size,mc_income,time_3_end
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518779,141365,9,2024-09-30 16:25:08,2024-09-30 16:26:35,2024-09-30 16:26:35,,2024-09-30 16:25:08,believe,1944,male,white,,degree_grad,,retired,republican,detached,,own,2,250_to_300,2024-09-30 16:26:35
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519436,141365,10,2024-09-30 17:05:58,2024-09-30 17:06:46,2024-09-30 17:06:46,,2024-09-30 17:05:58,believe,1994,male,white,,degree_grad,,employed_under40,democratic,mobile,,own,3,100_to_150,2024-09-30 17:06:46
6aAl0KOeJYwe0eWEDr05jhUSYu1qzHGJsZ_YaNqjpuhjdzAkmhg_O4hWOq9WsYws,35519480,141365,11,2024-09-30 17:08:59,2024-09-30 17:09:26,2024-09-30 17:09:26,,2024-09-30 17:08:59,somewhat,1989,male,white,,vocational,,employed_under40,democratic,mobile,,own,1,75_to_100,2024-09-30 17:09:26
cAFNyRoKE6q2P5AHAxgjI-oEhAqSNyr74NdSoSpkPmgAI5NBybUWL4sabvZss8fB,35519501,141365,12,2024-09-30 17:10:02,2024-09-30 17:10:36,2024-09-30 17:10:37,,2024-09-30 17:10:02,somewhat,1981,female,asian,,degree_bs,,employed_over40,independent,detached,,own,2,50_to_75,2024-09-30 17:10:36
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35519611,141365,13,2024-09-30 17:19:06,2024-09-30 17:20:07,2024-09-30 17:20:07,,2024-09-30 17:19:06,believe,1978,male,black,,degree_bs,,employed_over40,democratic,detached,,own,4,200_to_250,2024-09-30 17:20:07
Y5I0bpRwf3GQJn6ttA911vICWy_0f_jwd5WyNhAM2QDQv_hsgEeVFT7OTVWw2zKe,35519983,141365,14,2024-09-30 17:48:55,2024-09-30 17:49:57,2024-09-30 17:49:58,,2024-09-30 17:48:55,very,1973,male,black,,degree_bs,,employed_over40,democratic,detached,,own,2,35_to_50,2024-09-30 17:49:57
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521493,141365,15,2024-09-30 20:04:56,2024-09-30 20:05:35,2024-09-30 20:05:35,,2024-09-30 20:04:56,believe,1996,male,white,,degree_grad,,employed_over40,democratic,detached,,own,1,250_to_300,2024-09-30 20:05:35
pUuJJyXA0zpkYKI456F2sB0pR03xCCQ8s5UnA9KAe7BF3gve5HjdZPCHBmfnw8qB,35521513,141365,16,2024-09-30 20:06:46,2024-09-30 20:07:41,2024-09-30 20:07:41,,2024-09-30 20:06:46,not,1970,female,white,,degree_associate,,employed_over40,republican,apartment,,rent,2,200_to_250,2024-09-30 20:07:41
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35522835,141365,17,2024-09-30 22:08:27,2024-09-30 22:43:25,2024-09-30 22:43:25,,2024-09-30 22:08:27,very,1976,male,white,,degree_bs,,employed_over40,republican,detached,,own,4,75_to_100,2024-09-30 22:43:25
zGqIBxn46GJ0yG4M15HhF1nkprtlCuDKq-fXrzzvTZ2X_8DNFRUCz7eQQGzcfI9e,35522905,141365,18,2024-09-30 22:14:29,2024-09-30 22:15:27,2024-09-30 22:15:28,,2024-09-30 22:14:29,very,1955,male,white,,degree_bs,,retired,democratic,detached,,own,2,100_to_150,2024-09-30 22:15:28
