session,session_id,study_id,iteration,created,modified,ended,expired,time_4b_start,completion_code,v2g_survey,v2g_respID,v2g_df,user_range,time_4b_1,mc_v2g_1,time_4b_2,mc_v2g_2,time_4b_3,mc_v2g_3,time_4b_4,mc_v2g_4,time_4b_5,mc_v2g_5,time_4b_6,mc_v2g_6,time_4b_7,v2g_all_same,txt_feedback_2,time_4b_1_posix,time_4b_7_posix,time_diff_v2g,v2g_speeding,time_4b_end,psid_complete
9eR29HDmohR3a2bbvV8r-uyh_lN0yh-8P6zH9qFrkn3-V9EPmhCQPEoAuBGwxKgj,35518824,141484,4,2024-09-30 16:27:44,2024-09-30 16:34:00,2024-09-30 16:34:00,,2024-09-30 16:27:44,648952,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",924,"{""profileID"":606,""respID"":924,""qID"":1,""altID"":1,""obsID"":1939,""enrollment_cash"":100,""occurrence_cash"":5,""monthly_occurrence"":3,""lower_bound"":30,""guaranteed_threshold"":80,""no_choice"":0}",400,2024-09-30 16:28:40,2,2024-09-30 16:32:30,3,2024-09-30 16:32:45,2,2024-09-30 16:32:55,2,2024-09-30 16:33:24,2,2024-09-30 16:33:36,2,2024-09-30 16:33:50,no,,2024-09-30 16:28:40,2024-09-30 16:33:50,310,no,2024-09-30 16:34:00,S0iesZfB10Z2-CPRq4bQew**
RAQJ5PPgh-I3sser2AyUkUvVaUVn7w16ZTGh7x_j-kmoaVB-ca8RPKpq43b8EgDg,35519447,141484,5,2024-09-30 17:06:58,2024-09-30 17:07:37,2024-09-30 17:07:37,,2024-09-30 17:06:59,160830,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",98,"{""profileID"":340,""respID"":98,""qID"":1,""altID"":1,""obsID"":583,""enrollment_cash"":300,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":70,""no_choice"":0}",600,2024-09-30 17:07:07,1,2024-09-30 17:07:11,2,2024-09-30 17:07:14,1,2024-09-30 17:07:18,2,2024-09-30 17:07:21,1,2024-09-30 17:07:25,2,2024-09-30 17:07:28,no,like good unique and the good ,2024-09-30 17:07:07,2024-09-30 17:07:28,21,no,2024-09-30 17:07:37,S0iesZfB10YiehGUDM8Rzg**
Asjxon3iz0WWNC_zTFEijDQMx2_yjT-B-ZBT0UJyx45z65akeKF2N2B6wz5ryM9o,35519627,141484,6,2024-09-30 17:20:41,2024-09-30 17:22:13,2024-09-30 17:22:13,,2024-09-30 17:20:41,472611,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3353,"{""profileID"":168,""respID"":3353,""qID"":1,""altID"":1,""obsID"":16513,""enrollment_cash"":300,""occurrence_cash"":5,""monthly_occurrence"":1,""lower_bound"":40,""guaranteed_threshold"":60,""no_choice"":0}",250,2024-09-30 17:20:57,2,2024-09-30 17:21:12,1,2024-09-30 17:21:20,2,2024-09-30 17:21:37,2,2024-09-30 17:21:46,1,2024-09-30 17:21:52,1,2024-09-30 17:21:58,no,Excellent survey ,2024-09-30 17:20:57,2024-09-30 17:21:58,61,no,2024-09-30 17:22:13,S0iesZfB10ZM4PrKQO-2uA**
L6QkIoJVXngSJo3NDWg5AHEikoM4KAhwNBALvYnA7ATIb_xtyERt5nSU7o50v_0G,35521502,141484,7,2024-09-30 20:05:56,2024-09-30 20:06:38,2024-09-30 20:06:38,,2024-09-30 20:05:56,566347,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",782,"{""profileID"":362,""respID"":782,""qID"":1,""altID"":1,""obsID"":1087,""enrollment_cash"":100,""occurrence_cash"":2,""monthly_occurrence"":3,""lower_bound"":30,""guaranteed_threshold"":70,""no_choice"":0}",450,2024-09-30 20:06:04,2,2024-09-30 20:06:11,1,2024-09-30 20:06:14,2,2024-09-30 20:06:18,1,2024-09-30 20:06:21,1,2024-09-30 20:06:25,1,2024-09-30 20:06:29,no,,2024-09-30 20:06:04,2024-09-30 20:06:29,25,no,2024-09-30 20:06:38,S0iesZfB10ZUc6PsKgq2JQ**
zGqIBxn46GJ0yG4M15HhF1nkprtlCuDKq-fXrzzvTZ2X_8DNFRUCz7eQQGzcfI9e,35522926,141484,8,2024-09-30 22:16:33,2024-09-30 22:19:27,2024-09-30 22:19:28,,2024-09-30 22:16:33,209055,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3483,"{""profileID"":476,""respID"":3483,""qID"":1,""altID"":1,""obsID"":17293,""enrollment_cash"":300,""occurrence_cash"":15,""monthly_occurrence"":4,""lower_bound"":40,""guaranteed_threshold"":70,""no_choice"":0}",300,2024-09-30 22:17:20,1,2024-09-30 22:17:36,1,2024-09-30 22:17:52,2,2024-09-30 22:18:07,2,2024-09-30 22:18:20,1,2024-09-30 22:18:50,1,2024-09-30 22:19:03,no,209055,2024-09-30 22:17:20,2024-09-30 22:19:03,103,no,2024-09-30 22:19:27,S0iesZfB10YN8FUch1I9Ug**
t_2eQ5vlwrY-yKYzNPjDllokSv4qvUVAzurU37bxmKkV2Iy9UyEIw55JA8Sdw8S6,35522960,141484,9,2024-09-30 22:19:28,2024-09-30 22:21:38,2024-09-30 22:21:39,,2024-09-30 22:19:28,293458,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",4103,"{""profileID"":353,""respID"":4103,""qID"":1,""altID"":1,""obsID"":21013,""enrollment_cash"":50,""occurrence_cash"":15,""monthly_occurrence"":2,""lower_bound"":30,""guaranteed_threshold"":70,""no_choice"":0}",300,2024-09-30 22:19:49,1,2024-09-30 22:20:01,1,2024-09-30 22:20:14,2,2024-09-30 22:20:38,2,2024-09-30 22:21:00,1,2024-09-30 22:21:14,2,2024-09-30 22:21:31,no,,2024-09-30 22:19:49,2024-09-30 22:21:31,102,no,2024-09-30 22:21:38,S0iesZfB10bURk1iM5FGKQ**
F4RNno00sm3YcAiTUzUH7LpnlPEnPOg1OiZ1xPMTc3-zmltMnltquff4JBf_SrM6,35523139,141484,10,2024-09-30 22:43:48,2024-09-30 22:45:10,2024-09-30 22:45:11,,2024-09-30 22:43:48,385480,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",1536,"{""profileID"":54,""respID"":1536,""qID"":1,""altID"":1,""obsID"":5611,""enrollment_cash"":100,""occurrence_cash"":15,""monthly_occurrence"":3,""lower_bound"":20,""guaranteed_threshold"":60,""no_choice"":0}",350,2024-09-30 22:43:57,1,2024-09-30 22:44:02,1,2024-09-30 22:44:07,2,2024-09-30 22:44:11,1,2024-09-30 22:44:15,2,2024-09-30 22:44:18,1,2024-09-30 22:44:22,no,good,2024-09-30 22:43:57,2024-09-30 22:44:22,25,no,2024-09-30 22:45:10,S0iesZfB10bmd1_OqPbS2g**
oidZjnyVB4-70s1Boz_P0wGbPjPV2MrwfnNkCJYWCLi42xvReQvWPNL3JfXYEir_,35523388,141484,11,2024-09-30 23:03:12,2024-09-30 23:05:05,2024-09-30 23:05:05,,2024-09-30 23:03:12,196441,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3099,"{""profileID"":631,""respID"":3099,""qID"":1,""altID"":1,""obsID"":14989,""enrollment_cash"":200,""occurrence_cash"":10,""monthly_occurrence"":4,""lower_bound"":30,""guaranteed_threshold"":80,""no_choice"":0}",450,2024-09-30 23:03:26,2,2024-09-30 23:03:45,1,2024-09-30 23:03:57,2,2024-09-30 23:04:08,1,2024-09-30 23:04:19,1,2024-09-30 23:04:27,2,2024-09-30 23:04:34,no,It was very informative ,2024-09-30 23:03:26,2024-09-30 23:04:34,68,no,2024-09-30 23:05:05,S0iesZfB10YjwhMTRWJyuw**
pwtgJvz788_FekdWAX0tGevbhkAspDIL5zTOHjjDo8lZ0ZoUBmi3Ypb0pm3JAHCv,35523404,141484,12,2024-09-30 23:03:36,2024-09-30 23:05:01,2024-09-30 23:05:01,,2024-09-30 23:03:36,701716,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",2267,"{""profileID"":292,""respID"":2267,""qID"":1,""altID"":1,""obsID"":9997,""enrollment_cash"":300,""occurrence_cash"":10,""monthly_occurrence"":3,""lower_bound"":20,""guaranteed_threshold"":70,""no_choice"":0}",300,2024-09-30 23:03:53,1,2024-09-30 23:04:04,1,2024-09-30 23:04:11,2,2024-09-30 23:04:19,2,2024-09-30 23:04:27,2,2024-09-30 23:04:36,2,2024-09-30 23:04:44,no,Great survey and necessary for the future of EVs,2024-09-30 23:03:53,2024-09-30 23:04:44,51,no,2024-09-30 23:05:01,S0iesZfB10bvDsN1EaJEXw**
v-2TkldmWPa3AnLLVnpjQiB5QktRb1471QcYKJ8y_rtKdughskCpT19Uh4llZYfT,35523408,141484,13,2024-09-30 23:03:48,2024-09-30 23:06:36,2024-09-30 23:06:37,,2024-09-30 23:03:48,334898,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3168,"{""profileID"":699,""respID"":3168,""qID"":1,""altID"":1,""obsID"":15403,""enrollment_cash"":200,""occurrence_cash"":20,""monthly_occurrence"":3,""lower_bound"":40,""guaranteed_threshold"":80,""no_choice"":0}",250,2024-09-30 23:04:17,1,2024-09-30 23:04:34,1,2024-09-30 23:04:48,2,2024-09-30 23:05:12,1,2024-09-30 23:05:51,2,2024-09-30 23:06:13,2,2024-09-30 23:06:26,no,,2024-09-30 23:04:17,2024-09-30 23:06:26,129,no,2024-09-30 23:06:37,S0iesZfB10bAphsXZv6Qpw**
