"session","created","modified","ended","expired","time_0b_start","plan_bev","mc_bev_make","mc_bev_audi","mc_bev_bmw","mc_bev_cadillac","mc_bev_chevrolet","mc_bev_fiat","mc_bev_ford","mc_bev_genesis","mc_bev_gmc","mc_bev_honda","mc_bev_hyundai","mc_bev_jaguar","mc_bev_kia","mc_bev_lexus","mc_bev_lucid","mc_bev_mazda","mc_bev_mercedes_benz","mc_bev_mini","mc_bev_mitsubishi","mc_bev_nissan","mc_bev_polestar","mc_bev_porsche","mc_bev_rivian","mc_bev_subaru","mc_bev_tesla","mc_bev_toyota","mc_bev_vin_fast","mc_bev_volkswagen","mc_bev_volvo","mc_bev_year","user_model","user_bev","time_0b_end"
"4TU825TlOoflL6yLKIG6Yh5SA7dZTjsm-cZepEhrFgDhSi3VeCtyMML04bipwg8_","2024-03-07 11:08:19","2024-03-07 11:08:27","2024-03-07 11:08:28","","2024-03-07 11:08:19","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 11:08:28"
"F8X8IsR7mFteU12F92zBV13z1jK7-DAx54V-q0GTx8bc_yllyz3sxEt_-6mbs6xq","2024-03-07 14:59:33","2024-03-07 14:59:39","2024-03-07 14:59:40","","2024-03-07 14:59:33","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 14:59:39"
"_9PV65nmeVRBKNb4AgevB9eabC4F09XRB7jLk27lDPSWq_89gSXdYJ1HH9Gjq_nw","2024-03-07 15:23:03","2024-03-07 15:23:18","2024-03-07 15:23:19","","2024-03-07 15:23:03","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 15:23:19"
"zpJk01ISomzqvyFPVpzzmRhY8Jiqss69rLSze86QcETrWNts1wTG3d5l1rQyGUah","2024-03-07 15:23:36","2024-03-07 15:23:44","2024-03-07 15:23:45","","2024-03-07 15:23:36","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 15:23:44"
"heZG18D0ZMsG7NE6X81H1DHIngBc-4DUfajHhN01r4B-DVXtlFFd57w2gae3XksC","2024-03-07 17:55:17","2024-03-07 17:55:26","2024-03-07 17:55:27","","2024-03-07 17:55:17","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 17:55:26"
"H8PcGwBgE0n4qriPeBIc71jjMAvDqgkkgQJpRxQgATX9-2y7cCjee2YiPruzj9HV","2024-03-07 20:48:24","2024-03-07 20:48:33","2024-03-07 20:48:33","","2024-03-07 20:48:24","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 20:48:33"
"Kh_UiGF4qPhsmWGniF5xgfaR6V2GMHazJNYBF3RTuPjQIAs9ezOcyatXsMvuhwrg","2024-03-07 22:00:41","2024-03-07 22:00:50","2024-03-07 22:00:51","","2024-03-07 22:00:41","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 22:00:51"
"caYgaM0L7unNRmNHElvPxEVF9c4TlHWoZRtyntoU0ORjPIC_EGKgCrLQ5dPD6yqv","2024-03-07 22:49:58","2024-03-07 22:50:07","2024-03-07 22:50:08","","2024-03-07 22:49:58","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-07 22:50:07"
"88cz0MBmqDjH4zlqBayf0RvxolNRsWavBOKQD6RXIcYM1efWxv4XlCxKAv6SewOq","2024-03-08 04:44:29","2024-03-08 04:44:40","2024-03-08 04:44:41","","2024-03-08 04:44:29","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 04:44:40"
"vEXftgy26F_kmXuMc9zVoh79_qu1twbOG4eaYPwz3Ca1893TnBd1cy_O9oGS4GTP","2024-03-08 06:57:46","2024-03-08 06:57:59","2024-03-08 06:57:59","","2024-03-08 06:57:46","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 06:57:59"
"Pjlssv45Th-qiziVUh3yvt0vS0BXrnufCxArUMxu-bb2OcYomxkVPslPSdnfvnND","2024-03-08 08:08:04","2024-03-08 08:16:13","2024-03-08 08:16:14","","2024-03-08 08:08:04","yes","ford","","","","","","f_150_lightning","","","","","","","","","","","","","","","","","","","","","","","2021","f_150_lightning","ford_f_150_lightning","2024-03-08 08:16:14"
"yO0kWcmLopZZpqbsz1lM8gM0SfgapU15gx0caiIOsTUf6eGUwIEJqQ1ZyHQvIYKs","2024-03-08 08:33:58","2024-03-08 08:34:06","2024-03-08 08:34:07","","2024-03-08 08:33:58","yes","genesis","","","","","","","gv_60","","","","","","","","","","","","","","","","","","","","","","2016","gv_60","genesis_gv_60","2024-03-08 08:34:06"
"q5XLtj5ollOi5vNRB2NryMgb4qE9H5aK-ETJjIK-FSlw7nsM8C7SU6_YyIagWvwx","2024-03-08 10:44:26","2024-03-08 10:44:37","2024-03-08 10:44:37","","2024-03-08 10:44:26","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 10:44:37"
"X-o_REUqUbLW9bpwS86ePgGdLE9h5_fVgiy3mqHlhBld5vuqYMTDQMiuhACO7hfV","2024-03-08 13:52:24","2024-03-08 13:52:29","2024-03-08 13:52:30","","2024-03-08 13:52:25","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 13:52:29"
"GS-TcxSJtnMYJqlGiGAQIbKMdEBSLl190GFz9sLSRoqWUTqFNu2ED2nxSFp485sL","2024-03-08 16:45:19","2024-03-08 16:45:36","2024-03-08 16:45:37","","2024-03-08 16:45:19","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 16:45:37"
"cHlwMN906fZs1WfVfEgCSUDUR5HJppZLkDzeFBH0SHEKHMdVux5JmfXNqXVXPAhF","2024-03-08 17:28:43","2024-03-08 17:29:00","2024-03-08 17:29:01","","2024-03-08 17:28:43","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA_NA","2024-03-08 17:29:00"
